Week	Date	Opponent	Result	Attendance
1	September 26, 1954	at Baltimore Colts	W 48-0	36,215
2	October 3, 1954	San Francisco 49ers	T 24-24	93,621
3	October 10, 1954	at Detroit Lions	L 21-3	55,008
4	October 17, 1954	at Green Bay Packers	L 35-17	17,465
5	October 24, 1954	Chicago Bears	W 42-38	48,204
6	October 31, 1954	Detroit Lions	L 27-24	74,315
7	November 7, 1954	at San Francisco 49ers	W 42-34	58,958
8	November 14, 1954	Chicago Cardinals	W 28-17	40,786
9	November 21, 1954	at New York Giants	W 17-16	27,077
10	November 28, 1954	at Chicago Bears	L 24-13	32,338
11	December 4, 1954	Baltimore Colts	L 22-21	30,821
12	December 12, 1954	Green Bay Packers	W 35-27	38,839
