Athlete	Time	Country	Year	Place
Yiannis Kouros	20:25:00	GRE	1984	1
Yiannis Kouros	20:29:04	GRE	1990	1
Yiannis Kouros	21:53:42	GRE	1983	1
Yiannis Kouros	21:57:00	GRE	1986	1
Scott Jurek	22:20:01	USA	2008	1
Scott Jurek	22:52:18	USA	2006	1
Ivan Cudin	22:57:40	ITA	2011	1
Ivan Cudin	23:03:06	ITA	2010	1
Patrik Macke	23:08:41	GBR	1990	2
Scott Jurek	23:12:14	USA	2007	1
Patrik Macke	23:18:00	GBR	1985	1
Valmir Nunes	23:18:05	BRA	2001	1
Markus Thalmann	23:28:24	AUT	2003	1
Joao Oliveira	23:29:08	POR	2013	1
Jan Lantink	23:31:22	HOL	2010	2
Kostas Reppos	23:37:00	GRE	1997	1
Dusan Mravlje	23:44:00	YUG	1985	2
Riochy Sekiya	23:47:54	JPN	2002	1
Riochy Sekiya	23:48:24	JPN	2009	1
Ohtaki Masayuki	24:01:10	JPN	2000	1
Rusko Kantief	24:08:13	BUL	1992	1
Ryoichi Sekiya	24:14:11	JPN	2006	2
János Bogár	24:15:31	HUN	1991	1
Jens Lukas	24:20:39	GER	2005	1
Piotr Kurylo	24:29:41	POL	2007	2
Lars Christoffers	24:31:45	DEN	2009	2
Patrik Macke	24:32:05	GBR	1989	1
Dusan Mravlje	24:39:22	YUG	1983	2
Dusan Mravlje	24:40:38	YUG	1984	2
Rune Larsson	24:41:46	SWE	1987	1
Jean-Dominique Calbera	24:42:00	FRA	1985	3
Rune Larsson	24:42:05	SWE	1988	1
Jens Lukas	24:46:51	GER	2001	2
János Bogár	24:49:19	HUN	1990	3
Marcus Thalmann	24:52:09	AUT	2008	2
Jan Prockaska	24:55:58	GER	2010	3
Jens Lukas	24:59:54	GER	2000	2
Jean-Jacques Moros	25:03:30	FRA	2005	2
Paul Beckers	25:05:48	BEL	1992	2
Jon Berge	25:09:38	NOR	2009	3
Kostas Reppos	25:11:41	GRE	1998	1
Markus Thalmann	25:16:56	AUT	2002	2
Masayuki Ohtaki	25:19:12	JPN	2006	3
Ryoichi Sekiya	25:27:30	JPN	2001	3
Rune Larsson	25:28:48	SWE	1989	2
Lars Skytte Christoffersen	25:29:41	DEN	2008	3
Reus Florian	25:29:54	GER	2013	2
Valmir Nunes	25:30:35	BRA	2003	2
Rune Larsson	25:32:55	SWE	1990	4
Akihiko Kumasaka	25:34:49	JAP	2001	4
