Year	Competition	Town	Opponent	Final score
2006	Friendly	Trieste	Italy	11:10
2006	Friendly	Barcelona	Spain	13:10
2006	Friendly	Zagreb	Croatia	7:10
2006	Friendly	Budva	Croatia	9:8
2007	Friendly	Sydney	Australia	15:8
2007	Friendly	Sydney	Australia	16:8
2007	Tournament	Budva	Russia	15:6
2007	Tournament	Budva	Italy	14:13
2007	Tournament	Budva	Croatia	8:8
2007	Friendly	Kranj	Slovenia	16:4
2007	'B' EC q.	Kotor	Republic of Ireland	25:2
2007	'B' EC q.	Kotor	Austria	26:1
2007	'B' EC q.	Kotor	Switzerland	30:3
2007	World League	Novi Sad	Italy	11:13
2007	World League	Novi Sad	Greece	14:5
2007	World League	Novi Sad	Serbia	11:12
2007	World League	Novi Sad	Germany	11:5
2007	'B' EC	Manchester	Turkey	16:5
2007	'B' EC	Manchester	Malta	21:2
2007	'B' EC	Manchester	Belgium	28:6
2007	'B' EC	Manchester	Macedonia	19:7
2007	'B' EC	Manchester	Belarus	14:5
2007	'B' EC	Manchester	Belarus	26:1
2007	'B' EC (final)	Manchester	France	19:9
2007	World League	Pescara	Italy	12:11
2007	World League	Pescara	Greece	11:3
2007	World League	Pescara	Serbia	12:10
2007	World League	Pescara	Germany	11:7
2007	Olympics 2008. qual.	Bratislava	Italy	12:8
2007	Olympics 2008. qual.	Bratislava	Slovenia	19:4
2007	Olympics 2008. qual.	Bratislava	Greece	9:5
2007	Olympics 2008. qual.	Bratislava	Netherlands	15:5
2007	Olympics 2008. qual.	Bratislava	Russia	12:5
2007	Olympics 2008. qual. (final)	Bratislava	Romania	9:8
2007	Friendly	Budva	Germany	15:8
2008	EC 2008 – qualifications	Dubrovnik	Slovenia	18:3
2008	EC 2008 – qualifications	Dubrovnik	United Kingdom	18:3
2008	EC 2008 – qualifications	Dubrovnik	Croatia	6:7
2008	EC 2008 – group stage	Málaga	Spain	8:7
2008	EC 2008 – group stage	Málaga	Greece	11:10
2008	EC 2008 – group stage	Málaga	Croatia	6:7
2008	EC 2008 – group stage	Málaga	Hungary	10:9
2008	EC 2008 – group stage	Málaga	Slovakia	13:4
2008	EC 2008 – semi-final	Málaga	Croatia	9:7
2008	EC 2008 – final	Málaga	Serbia	6:5
2008	OG 2008 – qualifications	Beijing	Hungary	10:10
2008	OG 2008 – qualifications	Beijing	Canada	12:0
2008	OG 2008 – qualifications	Beijing	Greece	10:6
2008	OG 2008 – qualifications	Beijing	Spain	6:12
2008	OG 2008 – qualifications	Beijing	Australia	5:5
2008	OG 2008 – quarter-final	Beijing	Croatia	7:6
2008	OG 2008 – semi-final	Beijing	Hungary	9:11
2008	OG 2008 – bronze medal	Beijing	Serbia	4:6
