Episode #	Season Episode #	Title	Directed by	Written by	Original air date	Prod. code
52	1	"Steal Wheels"	Steve Loter	Brian Swenlin	September25,2004	301
53	2	"Emotion Sickness"	Steve Loter	Brian Swenlin	October15,2004	302
54	3	"Bonding"	Steve Loter	John Behnke & Rob Humphrey	October22,2004	303
55	4	"Bad Boy"	Steve Loter	Nicole Dubuc	January14,2005	304
56	5	"Showdown at the Crooked D"	Steve Loter	Mark Palmer	March25,2005	229
57	6	"Dimension Twist"	Steve Loter	Tracy Berna	April1,2005	308
58a	7a	"Overdue"	Steve Loter	Jim Peterson & Brian Swenlin	April15,2005	309a
58b	7b	"Roachie"	Steve Loter	Jim Peterson & Brian Swenlin	April15,2005	309b
59	8	"Rappin’ Drakken"	Steve Loter	Mark McCorkle & Bob Schooley	June25,2005	311
60	9	"Team Impossible"	Steve Loter	John Behnke & Rob Humphrey	August26,2005	313
61	10	"Gorilla Fist"	Steve Loter	Mark McCorkle & Bob Schooley	November18,2005	312
62	11	"And the Mole Rat Will Be CGI"	Steve Loter	Mark Drop	June10,2006	310
