Episode #	Air date	Team 1	Players left after Round 1	Team 2
1	28 July 2008	Di's Diamonds*	5 - 2	Poachers
2	29 July 2008	Di's Diamonds	6 - 1	Volunteers
3	30 July 2008	Di's Diamonds	4 - 3	Guilders
4	31 July 2008	Di's Diamonds	3 - 4	Ignorance Is Bliss
5	1 August 2008	Wykeham Wonderers	2 - 5	Oxford Martyrs
6	4 August 2008	Life's Too Short	3 - 4	Oxford Martyrs
7	5 August 2008	Annie's Boys	5 - 2	Quizmasters
8	6 August 2008	Annie's Boys*	4 - 3	Chalkheads
9	7 August 2008	Saints & Sinner	3 - 4	Why Keep Fit?
10	8 August 2008	Swampbeasts	5 - 2	Why Keep Fit?
11	11 August 2008	Liccle 'Ommers	3 - 4	The Clayheads
12	12 August 2008	Ashford Road Club	1 - 6	The Clayheads
13	13 August 2008	We Love I.T.	2 - 5	The Clayheads
14	14 August 2008	The Ant Hill Mob	3 - 4	The Clayheads
15	15 August 2008	The Ant Hill Mob	5 - 2	Oscar Lives
16	18 August 2008	The Ant Hill Mob	4 - 3	Loitering Within Trent
17	19 August 2008	Titans	3 - 4	Olé!*
18	20 August 2008	Tetsudo	2 - 5	Dreadnoughts
19	21 August 2008	Bridge Too Far	3 - 4	Dreadnoughts
