Song 1 title	Artist 1	Song 2 title	Artist 2	Mix artist	Venue	Battle Mix?	Setlist
" Hot in Herre "	Nelly	" Regulate "	Warren G. featuring Nate Dogg	FreeStyle Games	Ibiza	No	West Coast Beats
" Galvanize "	Chemical Brothers The Chemical Brothers	" Leave Home "	Chemical Brothers The Chemical Brothers	FreeStyle Games	Shanghai	No	Dance Anthems, Checkpoint Battle (vs. Mixy Trix)
" Replay "	Iyaz	" Rude Boy "	Rihanna	FreeStyle Games	Ibiza	No	Radio Jams
"Bounce (Remix)"	MSTRKRFT featuring N.O.R.E.	N/A	N/A	FreeStyle Games	London	Yes	DJ Battle (vs. David Guetta)
" Don't Cha "	Pussycat Dolls featuring Busta Rhymes	" I Know You Want Me (Calle Ocho) "	Pitbull	FreeStyle Games	Ibiza	No	Radio Jams
" Where's Your Head At? "	Basement Jaxx	" Bonkers "	Dizzee Rascal & Armand Van Helden	FreeStyle Games	Shanghai	No	Dance Anthems
" Just Dance "	Lady Gaga featuring Colby O'Donis	" Ghosts N Stuff "	Deadmau5	FreeStyle Games	Shanghai	No	Deadmau5 Megamix
" California Love "	2Pac featuring Dr. Dre	" Nothin' on You "	B.o.B featuring Bruno Mars	FreeStyle Games	Berlin	No	Vocoder
" I Will Be Here "	Tiësto featuring Sneaky Sound System	"Speed Rail"	Tiësto	FreeStyleGames	Las Vegas	No	Tiësto Megamix
" Nasty "	Janet Jackson	" D.A.N.C.E. "	Justice	FreeStyle Games	Shanghai	No	Pop Mixes, Checkpoint Battle (vs. Cool Papa G)
" War "	Edwin Starr	" Waters of Nazareth "	Justice	FreeStyle Games	Shanghai	Yes	DJ Battle (vs. Deadmau5)
" Informer "	Snow	" ABC "	Jackson 5 The Jackson 5	FreeStyle Games	Ibiza	No	Opening Night
" Hero "	Nas featuring Keri Hilson	" Get By "	Talib Kweli	FreeStyle Games	Las Vegas	No	East Coast Beats
" Acapella (Remix)"	Kelis	N/A	N/A	FreeStyle Games	London	No	David Guetta Megamix
" Human After All (Remix)"	Daft Punk	N/A	N/A	FreeStyle Games	Ibiza: Encore	No	Bonus Setlist
" Midnight in a Perfect World (Remix)"	DJ Shadow	N/A	N/A	FreeStyle Games	Ibiza: Encore	No	DJ Shadow
" ABC "	Jackson 5 The Jackson 5	" O.P.P. "	Naughty By Nature	A-Trak	N/A	Yes	N/A
" American Boy "	Estelle featuring Kanye West	" Good Times "	Chic	FreeStyle Games	N/A	No	N/A
" Heads Will Roll ( A-Trak Remix)"	Yeah Yeah Yeahs	" Where's Your Head At? "	Basement Jaxx	FreeStyle Games	Las Vegas	No	A-Trak, Checkpoint Battle (vs. Jugglernort)
" Jump Around "	House of Pain	" Put Your Hands Where My Eyes Could See "	Busta Rhymes	FreeStyle Games	Shanghai	No	Bonus Setlist
" Axel F "	Harold Faltermeyer	" Get Busy "	Sean Paul	FreeStyle Games	Berlin	No	Bonus Setlist
" Galang "	M.I.A.	" Under Me Sleng Teng "	Wayne Smith	FreeStyle Games	Berlin	No	Diplo
" I Want Your Soul "	Armand Van Helden	" Push It "	Salt-N-Pepa	FreeStyle Games	Berlin	No	House
" Lollipop "	Lil Wayne featuring Static Major	" Not Afraid "	Eminem	FreeStyle Games	London	No	Hot 100
"Twist 'Em Out"	Dillinja and Skibadee	" Welcome To Jamrock "	Damian Marley	FreeStyle Games	Ibiza: Encore	No	Closing Party
" Ridin' "	Chamillionaire	" Crank That (Soulja Boy) "	Soulja Boy Tell 'Em	FreeStyle Games	Ibiza	No	Radio Jams
" I'm Not Alone "	Calvin Harris	" Show Me Love " ( StoneBridge Radio Edit)	Robin S	FreeStyle Games	Shanghai	No	Dance Anthems
" Push The Feeling On (MK Mix 95)"	Nightcrawlers	" I Know You Want Me (Calle Ocho) "	Pitbull	FreeStyle Games	Berlin	No	House, Checkpoint Battle (vs. Vunda Boy)
" Planet Rock "	Afrika Bambaataa and The Soul Sonic Force	" Push It "	Salt-N-Pepa	FreeStyle Games	London	No	Old Skool, Checkpoint Battle (vs. Kitty Smash)
" LoveGame "	Lady Gaga	" Heartless "	Kanye West	FreeStyle Games	London	No	Bonus Setlist
" You Gonna Want Me "	Tiga	" The Way I Are "	Timbaland featuring Keri Hilson	FreeStyle Games	Berlin	No	House
"Say Whoa"	A-Trak	"Bounce"	MSTRKRFT featuring N.O.R.E.	FreeStyle Games	Las Vegas	No	A-Trak
" Pump Up The Volume "	M|A|R|R|S	" Buffalo Gals "	Malcolm McLaren	FreeStyle Games	Berlin	Yes	DJ Battle (vs. RZA)
" Who Am I (What's My Name)? "	Snoop Dogg	" Oops (Oh My) "	Tweet featuring Missy Elliott	FreeStyle Games	Ibiza	No	West Coast Beats
"Favorite DJ"	Clinton Sparks , DJ Class, & Jermaine Dupri	" In The Ayer "	Flo Rida featuring will.i.am	FreeStyle Games	Shanghai	No	Pop Mixes
" Welcome to Jamrock "	Damian Marley	" A Fifth of Beethoven "	Walter Murphy	RZA	Berlin	No	RZA Megamix
"Apocalypse (Remix)"	Sparfunk & D-Code	N/A	N/A	FreeStyle Games	N/A	Yes	N/A
" California Love (Remix)"	2Pac featuring Dr. Dre	N/A	N/A	FreeStyle Games	Ibiza	No	West Coast Beats
" Bonkers "	Dizzee Rascal & Armand Van Helden	" Omen "	Prodigy The Prodigy	FreeStyle Games	N/A	Yes	N/A
" Groove Is In The Heart "	Deee-Lite	" Le Freak "	Chic	FreeStyle Games	Ibiza	No	Opening Night
" Pon De Floor "	Major Lazer feat. Vybz Kartel	" Axel F "	Harold Faltermeyer	Diplo	Berlin	No	Diplo
" In Da Club "	50 Cent	" Go DJ "	Lil' Wayne	FreeStyle Games	N/A	Yes	N/A
" Say Something "	Timbaland featuring Drake	" Put On "	Young Jeezy featuring Kanye West	FreeStyle Games	London	No	Hot 100
" Love Lockdown "	Kanye West	" Bad Girls "	Donna Summer	FreeStyle Games	Berlin	No	Vocoder
" Memories "	David Guetta featuring Kid Cudi	"Bashy Bashy"	Pirate Soundsystem	FreeStyle Games	London	No	David Guetta Megamix
" Lollipop "	Lil Wayne featuring Static Major	" Low "	Flo Rida	FreeStyle Games	Berlin	No	Vocoder
