Rank	Rider	Team	Speed	Time
1	Oliver Linsdell	398cc Yamaha	106.634mph	1:03.41.33
2	Tim Sayers	400cc Kawasaki	104.630mph	1:04.54.53
3	Joe Phillips	398cc Kawasaki	104.107mph	1:05.14.10
4	Keith Costello	400cc Honda	104.039mph	1:05.16.65
5	Andrew Kirkwood	399cc Kawasaki	103.353mph	1:05.42.63
6	Dan Sayle	125cc Honda	101.769mph	1:06.44.01
7	Ross Johnson	400cc Kawasaki	101.105mph	1:07.10.31
8	Anthony Davies	399cc Yamaha	100.701mph	1:07.26.47
9	Myles Byrne	400cc Honda	100.423mph	1:07.36.66
10	Ian Hickey	400cc Honda	99.643mph	1:08.09.43
