Category	Film	Director(s)	Country	Nominating Festival
2004	2004	2004	2004	2004
Short Film 2004 Prix UIP	J'Attendrai Le Suivant	Philippe Orreindy	France	Prix UIP Ghent
Short Film 2004 Prix UIP	Les Baisers des Autres	Carine Tardieu	France	Prix UIP Valladolid
Short Film 2004 Prix UIP	Poveste La Scara "C"	Cristian Nemescu	Romania	Prix UIP Angers
Short Film 2004 Prix UIP	Un Cartus De Kent Si Un Pachet De Cafea	Cristi Puiu	Romania	Prix UIP Berlin
Short Film 2004 Prix UIP	Fender Bender	Daniel Elliott	Estonia	Prix UIP Tampere
Short Film 2004 Prix UIP	Alt I Alt	Torbjørn Skårild	Norway	Prix UIP Cracow
Short Film 2004 Prix UIP	Panique Au Village: Les Voleurs Des Cartes	Vincent Patar , Stéphane Aubier	Belgium , France	Prix UIP Grimstad
Short Film 2004 Prix UIP	Love Me Or Leave Me Alone	Duane Hopkins	United Kingdom	Prix UIP Vilo do Conde
Short Film 2004 Prix UIP	Ich Und Das Universum	Hajo Schomerus	Germany	Prix UIP Sarajevo
Short Film 2004 Prix UIP	La Nariz De Cleopatra	Richard Jordan	Spain	Prix UIP Edinburgh
Short Film 2004 Prix UIP	Goodbye	Steve Hudson	Germany	Prix UIP Venezia
Short Film 2004 Prix UIP	7:35 de la Mañana	Nacho Vigalondo	Spain	Prix UIP Drama
