Location	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
Headquarters	9:30-9:00	9:30-9:00	9:30-9:00	9:30-9:00	9:30-6:00	9:30-5:00	1:00-5:00
Alachua	11:00-7:00	11:00-7:00	11:00-7:00	11:00-7:00	11:00-5:00	11:00-5:00	11:00-5:00
Archer	10:00-7:00	10:00-7:00	10:00-7:00	10:00-7:00	Closed	Closed	1:00-5:00
Cone Park	Closed	10:00-6:00	10:00-6:00	10:00-6:00	10:00-5:00	10:00-2:00	Closed
Hawthorne	10:00-7:00	10:00-7:00	10:00-7:00	10:00-7:00	1:00-5:00	1:00-5:00	1:00-5:00
High Springs	10:00-5:00	10:00-8:00	10:00-5:00	10:00-8:00	10:00-5:00	10:00-2:00	1:00-5:00
Library Partnership	9:00-6:00	9:00-6:00	11:00-7:00	11:00-7:00	9:00-5:00	10:00-3:00	Closed
Micanopy	11:00-7:00	1:00-7:00	1:00-7:00	1:00-7:00	Closed	Closed	1:00-5:00
Millhopper	9:30-8:30	9:30-8:30	9:30-8:30	9:30-8:30	9:30-5:00	9:30-5:00	1:00-5:00
Newberry	10:00-8:00	10:00-8:00	10:00-8:00	10:00-8:00	10:00-5:00	10:00-5:00	1:00-5:00
Tower Road	9:30-8:30	9:30-8:30	9:30-8:30	9:30-8:30	9:30-5:00	9:30-5:00	1:00-5:00
