Track	Title	Translation	Composer	Recorded
1	"Les bonbons"	The candies	Jacques Brel	1964-01-07
2	"Les vieux"	Old people	Jacques Brel, Jean Corti, Gérard Jouannest	1963-04-10
3	"La parlote"	Chatter	Jacques Brel, Gérard Jouannest	1963-04-02
4	"Le dernier repas"	The last meal	Jacques Brel	1964-01-08
5	"Titine"	Titine	Jacques Brel	1964-03-07
6	"Au suivant"	Next	Jacques Brel	1964-01-09
7	"Les toros"	The bulls	Jacques Brel, Jean Corti, Gérard Jouannest	1963-04-03
8	"La Fanette"	Fanette	Jacques Brel	1963-04-03
9	"J'aimais"	I loved	Jacques Brel, Gérard Jouannest	1963-04-10
10	"Les filles et les chiens"	The girls and the dogs	Jacques Brel, Gérard Jouannest	1963-04-03
11	"Les bigotes"	The bigots	Jacques Brel	1963-04-10
12	"Les fenêtres"	The windows	Jacques Brel, Gérard Jouannest	1963-04-02
13	"Quand maman reviendra"	When mother returns	Jacques Brel	1963-04-02
14	"Les amants de cœur"	The lovers of the heart	Jacques Brel, Rod McKuen	1964-03-07
