Rider	Bike	Laps	Time	Grid
Fonsi Nieto	Suzuki GSX-R1000	18	36:12.963	11
Rubén Xaus	Ducati 1098 RS 08	18	+0.301	2
Max Biaggi	Ducati 1098 RS 08	18	+1.321	3
Troy Bayliss	Ducati 1098 F08	18	+6.452	7
Michel Fabrizio	Ducati 1098 F08	18	+7.627	10
Lorenzo Lanzi	Ducati 1098 RS 08	18	+9.117	5
Troy Corser	Yamaha YZF-R1	18	+10.806	1
Max Neukirchner	Suzuki GSX-R1000	18	+11.661	4
Jakub Smrž	Ducati 1098 RS 08	18	+13.269	12
Kenan Sofuoğlu	Honda CBR1000RR	18	+14.563	14
Carlos Checa	Honda CBR1000RR	18	+15.953	9
Makoto Tamada	Kawasaki ZX-10R	18	+16.748	23
Noriyuki Haga	Yamaha YZF-R1	18	+18.356	6
Gregorio Lavilla	Honda CBR1000RR	18	+26.311	13
Roberto Rolfo	Honda CBR1000RR	18	+26.560	15
Régis Laconi	Kawasaki ZX-10R	18	+26.683	25
Ayrton Badovini	Kawasaki ZX-10R	18	+26.821	16
Sébastien Gimbert	Yamaha YZF-R1	18	+28.650	17
Ryuichi Kiyonari	Honda CBR1000RR	18	+33.150	20
Karl Muggeridge	Honda CBR1000RR	18	+36.656	18
Russell Holland	Honda CBR1000RR	18	+42.633	22
Shuhei Aoyama	Honda CBR1000RR	18	+55.352	27
Vittorio Iannuzzo	Kawasaki ZX-10R	17	Accident	21
Shinichi Nakatomi	Yamaha YZF-R1	11	Retirement	26
Loic Napoleone	Yamaha YZF-R1	9	Accident	28
David Checa	Yamaha YZF-R1	8	Retirement	19
Luca Morelli	Honda CBR1000RR	4	Retirement	24
Yukio Kagayama	Suzuki GSX-R1000	0	Accident	8
