Opposing Teams	Against	Date	Venue	Status
Wales	6	19/01/1991	Cardiff Arms Park , Cardiff	Five Nations
Scotland	12	16/02/1991	Twickenham , London	Five Nations
Ireland	7	02/03/1991	Lansdowne Road , Dublin	Five Nations
France	19	16/03/1991	Twickenham , London	Five Nations
Club Atlético Banco de la Nación Argentina	29	14/07/1991	Vélez Sarsfield , Buenos Aires	Test Match
Fiji	12	20/07/1991	National Stadium , Suva	Test Match
Australia	40	27/07/1991	Sydney Football Stadium , Sydney	Test Match
New Zealand	16	03/10/1991	Twickenham , London	1991 Rugby World Cup
Italy	6	08/10/1991	Twickenham , London	1991 Rugby World Cup
U.S.A.	9	11/10/1991	Twickenham , London	1991 Rugby World Cup
France	10	19/10/1991	Parc des Princes , Paris	1991 Rugby World Cup
Scotland	6	26/10/1991	Murrayfield , Edinburgh	1991 Rugby World Cup
Australia	12	02/11/1991	Twickenham , London	1991 Rugby World Cup
