Year	Competition	Date	Location	Score	Result
2000	Americas Zone Group I , Round Robin	25 Apr	Florianópolis (BRA)	3–0	Win
2000	Americas Zone Group I , Round Robin	27 Apr	Florianópolis (BRA)	3–0	Win
2000	Americas Zone Group I , Round Robin	28 Apr	Florianópolis (BRA)	3–0	Win
2000	Americas Zone Group I , Round Robin	29 Apr	Florianópolis (BRA)	2–1	Win
2000	Americas Zone Group I , Final	29 Apr	Florianópolis (BRA)	1–2	Loss
2001	Americas Zone Group I , Round Robin	24 Apr	Montevideo (URU)	3–0	Win
2001	Americas Zone Group I , Round Robin	25 Apr	Montevideo (URU)	3–0	Win
2001	Americas Zone Group I , Round Robin	26 Apr	Montevideo (URU)	2–1	Win
2001	Americas Zone Group I , Final	28 Apr	Montevideo (URU)	1–2	Loss
2002	Americas Zone Group I , Round Robin	23 Apr	San Luis Potosí (MEX)	3–0	Win
2002	Americas Zone Group I , Round Robin	24 Apr	San Luis Potosí (MEX)	3–0	Win
2002	Americas Zone Group I , Round Robin	25 Apr	San Luis Potosí (MEX)	3–0	Win
2002	Americas Zone Group I , Final	27 Apr	San Luis Potosí (MEX)	2–0	Win
2002	World Group, Relegation Play-offs	20–21 Jul	Přerov (CZE)	0–5	Loss
2003	Americas Zone Group I , Round Robin	23 Apr	Campinas (BRA)	3–0	Win
2003	Americas Zone Group I , Round Robin	24 Apr	Campinas (BRA)	3–0	Win
2003	Americas Zone Group I , Round Robin	25 Apr	Campinas (BRA)	3–0	Win
2003	Americas Zone Group I , Final	26 Apr	Campinas (BRA)	2–0	Win
2003	World Group, Relegation Play-offs	19–20 Jul	Neudörfl (AUT)	1–4	Loss
2004	Americas Zone Group I , Round Robin	19 Apr	Porto Seguro (BRA)	3–0	Win
2004	Americas Zone Group I , Round Robin	21 Apr	Porto Seguro (BRA)	3–0	Win
2004	Americas Zone Group I , Round Robin	22 Apr	Porto Seguro (BRA)	2–1	Win
2004	Americas Zone Group I , Round Robin	23 Apr	Porto Seguro (BRA)	2–0	Win
2004	Americas Zone Group I , Final	24 Apr	Porto Seguro (BRA)	2–0	Win
2004	World Group, Relegation Play-offs	10–11 Jul	Dorval (CAN)	2–3	Loss
2005	Americas Zone Group I , Round Robin	20 Apr	Carrasco (URU)	3–0	Win
2005	Americas Zone Group I , Round Robin	21 Apr	Porto Seguro (BRA)	3–0	Win
2005	Americas Zone Group I , Round Robin	22 Apr	Porto Seguro (BRA)	3–0	Win
2005	Americas Zone Group I , Final	23 Apr	Porto Seguro (BRA)	0–2	Loss
2006	Americas Zone Group I , Round Robin	19 Apr	Medellín (COL)	3–0	Win
2006	Americas Zone Group I , Round Robin	20 Apr	Medellín (COL)	3–0	Win
2006	Americas Zone Group I , Round Robin	21 Apr	Medellín (COL)	3–0	Win
2006	Americas Zone Group I , Final	22 Apr	Medellín (COL)	3–0	Win
2006	World Group II, Relegation Play-offs	15–16 Jul	Edmonton (CAN)	3–2	Win
2007	World Group II , 1st Round	21–22 Apr	Kamloops (CAN)	2–3	Loss
2007	World Group II, Relegation Play-offs	14–15 Jul	Córdoba (ARG)	1–4	Loss
2008	Americas Zone Group I , Round Robin	31 Jan	Medellín (COL)	3–0	Win
2008	Americas Zone Group I , Round Robin	1 Feb	Medellín (COL)	1–2	Loss
2008	Americas Zone Group I, Third To Fourth Play-offs	2 Feb	Medellín (COL)	3–0	Win
2009	Americas Zone Group I , Round Robin	5 Feb	Montreal (CAN)	3–0	Win
2009	Americas Zone Group I , Round Robin	6 Feb	Montreal (CAN)	3–0	Win
2009	Americas Zone Group I , Final	7 Feb	Montreal (CAN)	3–0	Win
2009	World Group II, Relegation Play-offs	25–26 Apr	Hasselt (BEL)	2–3	Loss
