Number	Title	Born	Died	Date Married	Issue	Mother
1	Princess Lin'an 臨安公主	1360	17 August 1421	1376	–	–
2	Princess Ning 寧國公主	1364	7 September 1434	1378	–	Empress Xiao Ci Gao
3	Princess Chongning 崇寧公主	–	–	21 December 1384	–	–
4	Princess Anqing 安慶公主	–	–	23 December 1381	–	Empress Xiao Ci Gao
5	Princess Running 汝寧公主	–	–	11 June 1382	–	–
6	Princess Huaiqing 懷慶公主	–	15 July 1425	11 September 1382	Wang Zhenliang 王貞亮 Wang Zhenqing 王貞慶	Noble Consort Cheng Mu
7	Princess Daming 大名公主	1368	30 March 1426	2 September 1382	Li Zhuang 李莊	–
8	Princess Fuqing 福清公主	–	28 February 1417	26 April 1385	–	Consort An
9	Princess Shouchun 壽春公主	1370	1 August 1388	9 April 1386	–	–
10	none	–	–	none	none	–
11	Princess Nankang 南康公主	1373	15 November 1438	1387	–	–
12	Princess Zhenyi of Yongjia 永嘉貞懿公主	1376	12 October 1455	23 November 1389	Guo Zhensi 郭珍嗣	Consort Hui
13	none	–	–	none	none	–
14	Princess Hanshan 含山公主	1381	18 October 1462	11 September 1394	–	Consort Han
15	Princess Ruyang 汝陽公主	–	–	23 August 1394	–	Consort Hui
16	Princess Baoqing 寶慶公主	1394	1433	1413	–	Beauty Lady Zhang
