Week	Date	Opponent	Result	Attendance
1	September 7, 1980	Atlanta Falcons	W 24-23	44,773
2	September 14, 1980	Philadelphia Eagles	L 42-7	46,460
3	September 21, 1980	at Chicago Bears	W 34-14	59,983
4	September 28, 1980	at Detroit Lions	L 27-7	80,291
5	October 5, 1980	Pittsburgh Steelers	L 23-17	47,583
6	October 12, 1980	Chicago Bears	W 13-7	46,751
7	October 19, 1980	at Cincinnati Bengals	L 14-0	44,487
8	October 26, 1980	at Green Bay Packers	L 16-3	56,191
9	November 2, 1980	at Washington Redskins	W 39-14	52,060
10	November 9, 1980	Detroit Lions	W 34-0	46,264
11	November 16, 1980	Tampa Bay Buccaneers	W 38-30	46,032
12	November 23, 1980	Green Bay Packers	L 25-13	47,234
13	November 30, 1980	at New Orleans Saints	W 23-20	30,936
14	December 7, 1980	at Tampa Bay Buccaneers	W 21-10	65,649
15	December 14, 1980	Cleveland Browns	W 28-23	42,202
16	December 21, 1980	at Houston Oilers	L 20-16	51,064
