Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 18	St. Louis Cardinals	W 7–0	Mile High Stadium	1–0	75,002
2	September 25	Buffalo Bills	W 26–6	Mile High Stadium	2–0	74,897
3	October 2	at Seattle Seahawks	W 24–13	Kingdome	3–0	53,108
4	October 9	Kansas City Chiefs	W 23–7	Mile High Stadium	4–0	74,878
5	October 16	at Oakland Raiders	W 30–7	Oakland-Alameda County Coliseum	5–0	53,616
6	October 23	at Cincinnati Bengals	W 24 - 13	Riverfront Stadium	6–0	54,395
7	October 30	Oakland Raiders	L 14–24	Mile High Stadium	6–1	75,007
8	November 6	Pittsburgh Steelers	W 21–7	Mile High Stadium	7–1	74,967
9	November 13	at San Diego Chargers	W 17–14	San Diego Stadium	8–1	45,211
10	November 20	at Kansas City Chiefs	W 14–7	Arrowhead Stadium	9–1	54,050
11	November 27	Baltimore Colts	W 27–13	Mile High Stadium	10–1	74,939
12	December 4	at Houston Oilers	W 24–14	Astrodome	11–1	46,875
13	December 11	San Diego Chargers	W 17–9	Mile High Stadium	12–1	74,905
14	December 18	at Dallas Cowboys	L 6–14	Texas Stadium	12–2	63,752
