Outcome	Date	Tournament	Surface	Partner	Opponent	Score
Winner	11 November 2006	Itajaí , Brazil	Clay	Teliana Pereira	Fernanda Hermenegildo Monika Kochanova	6–3, 6–3
Winner	26 November 2006	Córdoba , Argentina	Clay	Teliana Pereira	Florencia Molinero Veronika Spiegel	7–5, 6–4
Winner	18 May 2007	Trivandrum , India	Clay	Lauren Albanese	Nicole Clerico Agnes Szatmari	3–6, 7–5, 6–0
Winner	8 July 2007	Stuttgart-Vaihingen , Germany	Clay	Ekaterina Dzehalevich	Darija Jurak Carmen Klaschka	6–3, 6–2
Winner	28 July 2007	Les Contamines , France	Hard	Anastasia Pavlyuchenkova	Petra Cetkovská Sandra Záhlavová	Walkover
Runner-up	1 August 2007	Coimbra , Portugal	Hard	Magdalena Kiszczyńska	Kira Nagy Neuza Silva	3–6, 6–3, 7–5
Runner-up	21 October 2007	Makinohara , Japan	Carpet	Lauren Albanese	Airi Hagimoto Sakiko Shimizu	7–5, 6–3
Winner	18 November 2007	Kunming , China	Hard	Urszula Radwańska	Han Xinyun Xu Yifan	6–4, 6–1
Winner	6 April 2008	Torhout , Belgium	Hard	Anastasia Pavlyuchenkova	Stéphanie Cohen-Aloro Selima Sfar	6–4, 4–6, [10–8]
Runner-up	22 February 2009	Surprise, Arizona , United States	Hard	Ahsha Rolle	Jorgelina Cravero Ekaterina Ivanova	6–1, 6–1
Runner-up	1 March 2009	Clearwater , United States	Hard	Maria Elena Camerin	Lucie Hradecká Michaela Paštiková	walkover
Winner	10 April 2009	Torhout , Belgium	Hard	Michaëlla Krajicek	Julia Görges Sandra Klemenschits	6–4, 6–0
Runner-up	17 October 2010	Torhout , Belgium	Hard	Michaëlla Krajicek	Timea Bacsinszky Tathiana Garbin	6–4, 6–2
