Film	Year	Score composer	U.K. peak position	U.S. peak position
Dr. No ( soundtrack )	1962	Monty Norman	—	—
From Russia with Love ( soundtrack )	1963	John Barry	—	—
Goldfinger ( soundtrack )	1964	John Barry	21	8
Thunderball ( soundtrack )	1965	John Barry	35	25
You Only Live Twice ( soundtrack )	1967	John Barry	11	44
On Her Majesty's Secret Service ( soundtrack )	1969	John Barry	—	—
Diamonds Are Forever ( soundtrack )	1971	John Barry	38	57
Live and Let Die ( soundtrack )	1973	George Martin	7	2
The Man with the Golden Gun ( soundtrack )	1974	John Barry	—	—
The Spy Who Loved Me ( soundtrack )	1977	Marvin Hamlisch	7	2
Moonraker ( soundtrack )	1979	John Barry	—	—
For Your Eyes Only ( soundtrack )	1981	Bill Conti	8	4
Octopussy ( soundtrack )	1983	John Barry	75	36
A View to a Kill ( soundtrack )	1985	John Barry	2	1
The Living Daylights ( soundtrack )	1987	John Barry	5	—
Licence to Kill ( soundtrack )	1989	Michael Kamen	6	—
GoldenEye ( soundtrack )	1995	Éric Serra	10	—
Tomorrow Never Dies ( soundtrack )	1997	David Arnold	12	—
The World Is Not Enough ( soundtrack )	1999	David Arnold	11	—
Die Another Day ( soundtrack )	2002	David Arnold	3	8
Casino Royale ( soundtrack )	2006	David Arnold	7	79
Quantum of Solace ( soundtrack )	2008	David Arnold	9	81
Skyfall ( soundtrack )	2012	Thomas Newman	2	8
