Outcome	Date	Tournament	Surface	Opponent in the final	Score in the final
Runner-up	April 28, 1991	Bol , Yugoslavia WTA Tier V	Clay	Sandra Cecchini	4–6, 6–3, 5–7
Winner	July 27, 1992	San Marino , San Marino WTA Tier V	Clay	Federica Bonsignori	7–6 (7–3) , 6–4
Runner-up	January 10, 1993	Brisbane , Australia WTA Tier III	Hard	Conchita Martínez	3–6, 4–6
Winner	September 25, 1994	Moscow , Russia WTA Tier III	Carpet (I)	Sandra Cecchini	7–5, 6–1
Winner	October 9, 1994	Zurich , Switzerland WTA Tier I	Carpet (I)	Natasha Zvereva	7–5, 3–6, 6–4
Winner	February 12, 1995	Chicago , USA WTA Tier II	Carpet (I)	Lisa Raymond	7–5, 7–6 (7–2)
Runner-up	April 5, 1995	Hilton Head , USA WTA Tier I	Clay	Conchita Martínez	1–6, 1–6
Runner-up	May 21, 1995	Berlin , Germany WTA Tier I	Clay	Arantxa Sánchez Vicario	4–6, 1–6
Winner	September 24, 1995	Moscow , Russia WTA Tier III	Carpet (I)	Elena Makarova	6–4, 6–2
Runner-up	October 1, 1995	Leipzig , Germany WTA Tier II	Carpet (I)	Anke Huber	W/O
Winner	November 5, 1995	Oakland , USA WTA Tier II	Carpet (I)	Ai Sugiyama	6–3, 6–4
Runner-up	May 26, 1996	Madrid , Spain WTA Tier II	Clay	Jana Novotná	6–4, 4–6, 3–6
Winner	November 21, 1999	Pattaya City , Thailand WTA Tier IV	Hard	Anne Kremer	4–6, 6–1, 6–2
Runner-up	October 1, 2000	Luxembourg City , Luxembourg WTA Tier III	Carpet (I)	Jennifer Capriati	6–4, 1–6, 4–6
Runner-up	February 18, 2001	Nice , France WTA Tier II	Carpet (I)	Amélie Mauresmo	2–6, 0–6
Winner	April 22, 2001	Budapest , Hungary WTA Tier V	Clay	Anne Kremer	3–6, 6–2, 6–4
Runner-up	September 30, 2001	Leipzig , Germany WTA Tier II	Carpet (I)	Kim Clijsters	1–6, 1–6
Winner	October 6, 2002	Moscow , Russia WTA Tier I	Carpet (I)	Lindsay Davenport	5–7, 6–3, 7–6 (7–4)
Runner-up	October 27, 2002	Luxembourg City , Luxembourg WTA Tier III	Hard (I)	Kim Clijsters	1–6, 2–6
Winner	June 15, 2003	Birmingham , United Kingdom WTA Tier III	Grass	Shinobu Asagoe	6–1, 6–4
Runner-up	February 8, 2004	Tokyo , Japan WTA Tier I	Carpet (I)	Lindsay Davenport	4–6, 1–6
