Heat	Lane	Name	Nationality	Time
7	5	Kirsty Coventry	Zimbabwe	59.00
6	6	Reiko Nakamura	Japan	59.36
5	4	Anastasia Zuyeva	Russia	59.61
7	4	Natalie Coughlin	United States	59.69
6	5	Laure Manaudou	France	1:00.09
7	6	Gemma Spofforth	Great Britain	1:00.11
6	4	Margaret Hoelzer	United States	1:00.13
6	3	Hanae Ito	Japan	1:00.16
5	5	Emily Seebohm	Australia	1:00.27
4	3	Julia Wilkinson	Canada	1:00.38
5	8	Antje Buschschulte	Germany	1:00.48
5	2	Elizabeth Simmonds	Great Britain	1:00.53
5	6	Nina Zhivanevskaya	Spain	1:00.54
5	3	Sophie Edington	Australia	1:00.65
7	1	Elizabeth Coster	New Zealand	1:00.66
6	1	Kseniya Moskvina	Russia	1:00.70
5	1	Xu Tianlongzi	China	1:00.82
7	7	Fabíola Molina	Brazil	1:01.00
3	3	Carolina Colorado	Colombia	1:01.19
4	4	Melissa Ingram	New Zealand	1:01.24
5	7	Kateryna Zubkova	Ukraine	1:01.25
6	2	Sanja Jovanović	Croatia	1:01.30
7	2	Alexianne Castel	France	1:01.44
7	8	Nikolett Szepesi	Hungary	1:01.77
3	2	Anna Gostomelsky	Israel	1:01.87
4	6	Romina Armellini	Italy	1:02.21
4	8	Anja Čarman	Slovenia	1:02.21
4	5	Mercedes Peris	Spain	1:02.30
3	1	Sarah Sjöström	Sweden	1:02.38
4	2	Hanna-Maria Seppälä	Finland	1:02.39
4	1	Aisling Cooney	Ireland	1:02.50
3	7	Alana Dillette	Bahamas	1:02.56
1	4	Kiera Aitken	Bermuda	1:02.62
3	4	Tsai Hiu Wai Sherry	Hong Kong	1:02.68
3	5	Fernanda González	Mexico	1:02.76
2	4	Zuzanna Mazurek	Poland	1:02.77
6	7	Iryna Amshennikova	Ukraine	1:02.85
2	5	Gisela Morales	Guatemala	1:02.92
3	6	Petra Klosová	Czech Republic	1:03.36
2	3	Marica Strazmester	Serbia	1:03.56
3	8	Sarah Blake Bateman	Iceland	1:03.82
6	8	Christin Zenner	Germany	1:03.87
2	7	Erin Volcán	Venezuela	1:03.90
2	6	Kim Yu-Yeon	South Korea	1:04.63
2	2	Yekaterina Rudenko	Kazakhstan	1:04.85
1	5	Maria Virginia Baez	Paraguay	1:05.39
1	3	Christie Bodden	Panama	1:07.18
7	3	Zhao Jing	China	DSQ
4	7	Sviatlana Khakhlova	Belarus	DNS
