Number	Previous Number(s)	Previous Class	Converted	Withdrawn	Disposal
31 (1st)	68383	J66	1952	1959	Scrapped (1959)
32 (1st)	68370	J66	1952	1962	Scrapped (1962)
33	68129	Y4	1952	1963	Scrapped (1964)
34	68088	Y7	1952	1952	Preserved
35	68668	J92	1952	1952	Scrapped (1952)
36	68378	J66	1952	1959	Scrapped (1959)
37	68130	Y1	1953	1956	Scrapped (1956)
38	68168	Y3	1953	1959	Scrapped (1959)
39	68131	Y1	1953	1963	Scrapped (1963)
40	68173	Y3	1953	1964	Scrapped (1964)
41	68177	Y3	1953	1963	Scrapped (1963)
42	68178	Y3	1953	1960	Scrapped (1960)
43	68532	J69	1959	1959	Scrapped (1959)
44	68498	J69	1959	1962	Scrapped (1962)
45	68543	J69	1959	1962	Scrapped (1962)
