Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
K217EZ	91.3	Coachella, California	10	D	FCC
K217EF	91.3	Desert Center, California	10	D	FCC
K251AH	98.1	Grand Terrace, California	8	D	FCC
K242BR	96.3	Indio, California	10	D	FCC
K225AO	92.9	Lompoc, California	5	D	FCC
K208DA	89.5	Los Banos, California	10	D	FCC
K295AI	106.9	Muscoy, California	7	D	FCC
K238BB	95.5	Palm Springs, California	6	D	FCC
K252EI	98.3	Rialto, California	30	D	FCC
K217CQ	91.3	Salinas, California	10	D	FCC
K211DK	90.1	Santa Ana, California	10	D	FCC
K240AK	95.9	Soledad, California	27	D	FCC
K219DK	91.7	Victorville, California	10	D	FCC
K279BE	103.7	Bakersfield, California	99	D	FCC
K293BG	106.5	Cambria, California	10	D	FCC
K239AZ	95.7	Lake Isabella, California	10	D	FCC
K212DL	90.3	Rosamond, California	250	D	FCC
K269EW	101.7	Santa Maria, California	10	D	FCC
