Week	Date	Opponent	Result	Attendance
1	September 9, 1968	Kansas City Chiefs	L 26–21	45,083
2	September 14, 1968	at Miami Dolphins	W 24–10	40,067
3	September 21, 1968	at San Diego Chargers	L 30–14	46,217
4	September 29, 1968	Oakland Raiders	L 24–15	46,098
5	October 6, 1968	Miami Dolphins	L 24–7	36,109
6	October 13, 1968	at Boston Patriots	W 16–0	32,502
7	October 20, 1968	New York Jets	L 20–14	51,710
8	October 27, 1968	at Buffalo Bills	W 30–7	34,339
9	November 3, 1968	at Cincinnati Bengals	W 27–17	24,012
10	November 10, 1968	at New York Jets	L 26–7	60,242
11	November 17, 1968	Denver Broncos	W 38–17	36,075
12	November 28, 1968	at Kansas City Chiefs	L 24–10	48,493
13	December 7, 1968	Buffalo Bills	W 35–6	34,110
14	December 15, 1968	Boston Patriots	W 45–17	34,198
