No. in series	No. in season	Title	Directedby	Writtenby	Originalairdate	Production code	U.S.viewers (million)
27	1	"SO"	Stephen Kay	Kurt Sutter	September7,2010	3WAB01	4.13
28	2	"Oiled"	Gwyneth Horder-Payton	Kurt Sutter & Dave Erickson	September14,2010	3WAB02	3.37
29	3	"Caregiver"	Billy Gierhart	Chris Collins & Regina Corrado	September21,2010	3WAB03	3.48
30	4	"Home"	Guy Ferland	Kurt Sutter & Liz Sagal	September28,2010	3WAB04	2.98
31	5	"Turning and Turning"	Gwyneth Horder-Payton	Dave Erickson & Marco Ramirez	October5,2010	3WAB05	3.12
32	6	"The Push"	Stephen Kay	Chris Collins & Julie Bush	October12,2010	3WAB06	2.85
33	7	"Widening Gyre"	Billy Gierhart	Kurt Sutter & Regina Corrado	October19,2010	3WAB07	2.59
34	8	"Lochan Mor"	Guy Ferland	Dave Erickson & Liz Sagal & Kurt Sutter	October26,2010	3WAB08	2.67
36	10	"Firinne"	Gwyneth Horder-Payton	Kurt Sutter & Vaun Wilmott	November9,2010	3WAB10	3.18
37	11	"Bainne"	Adam Arkin	Dave Erickson & Regina Corrado & Kurt Sutter	November16,2010	3WAB11	3.40
38	12	"June Wedding"	Phil Abraham	Story by: Kurt Sutter Teleplay by: Chris Collins	November23,2010	3WAB12	3.27
