Poll Source	Sample Size	Date	Democrat	Republican
Survey USA	520	Mar 14-16, 2008	Hillary Clinton	John McCain
Survey USA	520	Mar 14-16, 2008	Barack Obama	John McCain
Rasmussen Reports	500	Feb 17-18, 2008	Hillary Clinton	John McCain
Rasmussen Reports	500	Feb 17-18, 2008	Barack Obama	John McCain
Survey USA	506	Feb 15-17, 2008	Hillary Clinton	John McCain
Survey USA	506	Feb 15-17, 2008	Barack Obama	John McCain
Survey USA	501	Jan 20-21, 2008	Hillary Clinton	Rudy Giuliani
Survey USA	501	Jan 20-21, 2008	Hillary Clinton	Mike Huckabee
Survey USA	501	Jan 20-21, 2008	Hillary Clinton	John McCain
Survey USA	501	Jan 20-21, 2008	Hillary Clinton	Mitt Romney
Survey USA	501	Jan 20-21, 2008	Barack Obama	Rudy Giuliani
Survey USA	501	Jan 20-21, 2008	Barack Obama	Mike Huckabee
Survey USA	501	Jan 20-21, 2008	Barack Obama	John McCain
Survey USA	501	Jan 20-21, 2008	Barack Obama	Mitt Romney
Survey USA	523	Dec 13-15, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	523	Dec 13-15, 2007	Hillary Clinton	Mike Huckabee
Survey USA	523	Dec 13-15, 2007	Hillary Clinton	John McCain
Survey USA	523	Dec 13-15, 2007	Hillary Clinton	Mitt Romney
Survey USA	523	Dec 13-15, 2007	Barack Obama	Rudy Giuliani
Survey USA	523	Dec 13-15, 2007	Barack Obama	Mike Huckabee
Survey USA	523	Dec 13-15, 2007	Barack Obama	John McCain
Survey USA	523	Dec 13-15, 2007	Barack Obama	Mitt Romney
Survey USA	506	Nov 9-11, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	506	Nov 9-11, 2007	Hillary Clinton	Mike Huckabee
Survey USA	506	Nov 9-11, 2007	Hillary Clinton	John McCain
Survey USA	506	Nov 9-11, 2007	Hillary Clinton	Mitt Romney
Survey USA	506	Nov 9-11, 2007	Barack Obama	Rudy Giuliani
Survey USA	506	Nov 9-11, 2007	Barack Obama	Mike Huckabee
Survey USA	506	Nov 9-11, 2007	Barack Obama	John McCain
Survey USA	506	Nov 9-11, 2007	Barack Obama	Mitt Romney
Survey USA	495	Oct 12-14, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	472	Oct 12-14, 2007	Hillary Clinton	Mike Huckabee
Survey USA	468	Oct 12-14, 2007	Hillary Clinton	John McCain
Survey USA	464	Oct 12-14, 2007	Hillary Clinton	Ron Paul
Survey USA	482	Oct 12-14, 2007	Hillary Clinton	Mitt Romney
Survey USA	492	Oct 12-14, 2007	Hillary Clinton	Fred Thompson
