Position	Team	Points	Played	Drawn	Lost	Against	Difference
1	São Paulo	75	38	12	5	36	30
2	Grêmio	72	38	9	8	35	24
3	Cruzeiro	67	38	4	13	44	15
4	Palmeiras	65	38	8	11	45	10
5	Flamengo	64	38	10	10	48	19
6	Internacional	54	38	9	14	47	1
7	Botafogo	53	38	8	15	44	7
8	Goiás	53	38	11	13	47	10
9	Coritiba	53	38	11	13	48	7
10	Vitória	52	38	7	16	44	4
11	Sport	52	38	10	14	45	3
12	Atlético Mineiro	48	38	12	14	61	- 11
13	Atlético Paranaense	45	38	9	17	54	- 9
14	Fluminense	45	38	12	15	48	1
15	Santos	45	38	12	15	53	- 9
16	Náutico	44	38	11	16	54	- 10
17	Figueirense	44	38	11	16	73	- 24
18	Vasco da Gama	40	38	7	20	72	- 16
19	Portuguesa	38	38	11	18	70	- 22
20	Ipatinga	35	38	8	21	67	- 30
