Date	Visitor	Score	Home	Leading scorer	Attendance	Record
December 1	Cleveland	93-87	Milwaukee	Mark Price , 17 points	Bradley Center 13,648	9-5
December 3	Philadelphia	83-78	Cleveland	Mark Price , 18 points	Gund Arena 20,089	9-6
December 6	Orlando	114-97	Cleveland	2 way tie, 14 points	Gund Arena 20,562	9-7
December 7	Cleveland	75-90	Orlando	Chris Mills , 14 points	Orlando Arena 16,010	9-8
December 9	Cleveland	96-89	Boston	Hot Rod Williams , 20 points	Boston Garden 14,890	10-8
December 10	Detroit	79-87	Cleveland	Chris Mills , 17 points	Gund Arena 19,129	11-8
December 13	Indiana	83-90	Cleveland	Chris Mills , 17 points	Gund Arena 19,191	12-8
December 14	Cleveland	95-88	New Jersey	Hot Rod Williams , 20 points	Brendan Byrne Arena 9,027	13-8
December 16	Cleveland	84-80	Philadelphia	Terrell Brandon , 15 points	CoreStates Spectrum 9,830	14-8
December 19	Cleveland	77-63	Chicago	Hot Rod Williams , 18 points	United Center 22,301	15-8
December 22	Cleveland	93-90	New York	Bobby Phills , 24 points	Madison Square Garden 19,763	16-8
December 23	New Jersey	75-80	Cleveland	Tyrone Hill , 18 points	Gund Arena 20,562	17-8
December 26	Boston	102-123	Cleveland	Mark Price , 36 points	Gund Arena 20,562	18-8
December 28	Washington	75-91	Cleveland	Bobby Phills , 22 points	Gund Arena 20,562	19-8
December 30	Atlanta	85-87	Cleveland	Mark Price , 30 points	Gund Arena 20,562	20-8
