Round	Pick	Overall	Name	Position	College
1	4	4	Ralph Guglielmi	QB	Notre Dame
3	3	28	Ray Perkins	HB	Syracuse
5	3	52	Don Glantz	OT	Nebraska
7	3	76	Erik Christensen	DE	Richmond
7	7	80	Ron Marciniak	G	Kansas State
8	2	87	Johnny Allen	C	Purdue
9	3	100	John Miller	OT	Boston College
10	2	111	Tom Louderback	LB	San José State
11	3	124	Larry Parker	RB	North Carolina
12	2	135	John Barish	OT	Waynesburg
13	3	148	Len Oniskey	OT	Cornell
14	2	159	Tom Braatz	LB	Marquette
15	3	172	Charley Horton	RB	Vanderbilt
16	2	183	Hal Norris	LB	California
17	3	196	Don Shea	G	Georgia
18	2	207	Don Bailey	RB	Penn State
19	3	220	Bob Dee	DE	Holy Cross
20	2	231	Ron Geyer	OT	Michigan
21	3	244	Buck George	RB	Clemson
22	2	255	Joe Boland	RB	George Washington [b ]
23	3	268	Chick Donaldson	C	West Virginia
24	2	279	Bob Ready	OT	Notre Dame
25	3	292	Frank Radella	C	Wyoming
26	2	303	Walt Houston	G	Purdue
27	3	316	A. J. Baker	RB	Arkansas
28	2	327	Arch Cassidy	OT	Florida
29	3	340	Bing Bordier	E	Southern California
30	2	351	Tom Petty	E	Virginia Tech
