Rank	Nation	Gold	Silver	Bronze	Total
1	United States (USA)	13	11	2	26
2	Russia (RUS)	4	2	2	8
3	Hungary (HUN)	3	1	2	6
4	Ireland (IRL)	3	0	1	4
5	Australia (AUS)	2	4	6	12
6	South Africa (RSA)	2	0	1	3
7	New Zealand (NZL)	2	0	0	2
8	China (CHN)	1	3	2	6
9	Belgium (BEL)	1	0	0	1
9	Costa Rica (CRC)	1	0	0	1
11	Germany (GER)	0	5	7	12
12	Brazil (BRA)	0	1	2	3
12	Canada (CAN)	0	1	2	3
14	Great Britain (GBR)	0	1	1	2
14	Cuba (CUB)	0	1	1	2
16	Finland (FIN)	0	1	0	1
16	Sweden (SWE)	0	1	0	1
18	Netherlands (NED)	0	0	2	2
19	Italy (ITA)	0	0	1	1
