Series Ep.	Episode	Netflix	Segment A	Segment B	Segment C	Segment D
10-01	118	S05E14	Magnets	Cooked Ham	Silver - plated s Teapot	Crash Test Dummies
10-02	119	S05E15	Curling Stones	Refrigerators	Aluminum Baseball Bats	Opalescent Glass
10-03	120	S05E16	Levels	Hot Dogs	Abrasive Grains	Sandpaper
10-04	121	S05E17	Ice Cream Treats	Wooden s Golf Club	Aircraft s Wing	Car Battery Recycling
10-05	122	S05E18	Automotive s Fuel Pump	s Cricket Bat	s Change Machine	Ductile Iron Pipe
10-06	123	S05E19	Wooden s Barrel	s Fire Hydrant	s Automotive Seat	Cathode Ray Tubes
10-07	124	S05E20	Stainless Steel	s Football Helmet	Resin s Figurine	Laboratory Glassware
10-08	125	S05E21	s Fire Extinguisher	Doughnuts	s Shock Absorber	s Banjo
10-09	126	S05E22	s Dress Form	s Boat Propeller	s Duvet	Faucets
10-10	127	S05E23	Bronze s Bell	Wooden s Airplane Propeller	Charcoal Briquettes	Gas Log Fireplaces
10-11	128	S05E24	Pocket Knives	Soapstone Products	Electric Pole s Transformer	Traditional Snowshoes
10-12	129	S05E25	Steel Shipping Drums	s Police Whistle	Miniature Train Cars	s Glass Block
