Series #	Season #	Title	Director	Writer(s)	Airdate
464	1	" Lyle's Kid "	Bernard McEveety Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	September 23, 1968
465	2	" The Hide Cutters "	Bernard McEveety Category:Articles with hCards	Jack Turly Category:Articles with hCards	September 30, 1968
466	3	" Zavala "	Vincent McEveety Category:Articles with hCards	Paul Savage Category:Articles with hCards	October 7, 1968
467	4	" Uncle Finney "	Bernard McEveety Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	October 14, 1968
468	5	" Slocum "	Leo Penn Category:Articles with hCards	Ron Bishop Category:Articles with hCards	October 21, 1968
469	6	" O'Quillian "	John Rich Category:Articles with hCards	Ron Bishop Category:Articles with hCards	October 28, 1968
470	7	" 9:12 to Dodge "	Marvin J. Chomsky Category:Articles with hCards	Preston Wood Category:Articles with hCards	November 11, 1968
471	8	" Abelia "	Vincent McEveety Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	November 18, 1968
472	9	" Railroad! "	Marvin Chomsky Category:Articles with hCards	Arthur Rowe Category:Articles with hCards	November 25, 1968
473	10	" The Miracle Man "	Bernard McEveety Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	December 2, 1968
474	11	" Waco "	Robert Totten Category:Articles with hCards	Ron Bishop Category:Articles with hCards	December 9, 1968
475	12	" Lobo "	Bernard McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	December 16, 1968
476	13	" Johnny Cross "	Herschel Daugherty Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	December 23, 1968
477	14	" The Money Store "	Vincent McEveety Category:Articles with hCards	William Blinn Category:Articles with hCards	December 30, 1968
479	16	" Time of the Jackals "	Vincent McEveety Category:Articles with hCards	Richard Fielder Category:Articles with hCards	January 13, 1969
480	17	" Mannon "	Robert Butler Category:Articles with hCards	Ron Bishop Category:Articles with hCards	January 20, 1969
481	18	" Goldtown "	Gunnar Hellstrom Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	January 27, 1969
482	19	" The Mark of Cain "	Vincent McEveety Category:Articles with hCards	Ron Bishop Category:Articles with hCards	February 3, 1969
483	20	" Reprisal "	Bernard McEveety Category:Articles with hCards	Jack Hawn Category:Articles with hCards	February 10, 1969
484	21	" The Long Night "	John Rich Category:Articles with hCards	Dick Carr Category:Articles with hCards	February 17, 1969
485	22	" The Night Riders "	Irving J. Moore Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	February 24, 1969
486	23	" The Intruder "	Vincent McEveety Category:Articles with hCards	Jim Byrnes Category:Articles with hCards	March 3, 1969
487	24	" The Good Samaritans "	Bernard McEveety Category:Articles with hCards	Paul Savage Category:Articles with hCards	March 10, 1969
488	25	" The Prisoner "	Leo Penn Category:Articles with hCards	Calvin Clements, Sr. Category:Articles with hCards	March 17, 1969
