Year (Ceremony)	English title	Spanish title	Director	Result
1980 (53rd)	The Latin Immigrant	El Inmigrante latino	Gustavo Nieto Roa Category:Articles with hCards	Not Nominated
1984 (57th)	A Man of Principle	Cóndores no entierran todos los días	Francisco Norden Category:Articles with hCards	Not Nominated
1986 (59th)	A Time to Die	Tiempo de morir	Jorge Alí Triana Category:Articles with hCards	Not Nominated
1991 (64th)	Confessing to Laura	Confesión a Laura	Jaime Osorio Gómez Category:Articles with hCards	Not Nominated
1994 (67th)	The Strategy of the Snail	La Estrategia del caracol	Sergio Cabrera Category:Articles with hCards	Not Nominated
1996 (69th)	Oedipus Mayor	Edipo Alcalde	Jorge Alí Triana Category:Articles with hCards	Not Nominated
1997 (70th)	The Debt	La Deuda	Manuel Jose Alvarez & Nicolas Buenaventura	Not Nominated
1998 (71st)	The Rose Seller	La Vendedora de Rosas	Victor Gaviria Category:Articles with hCards	Not Nominated
1999 (72nd)	Time Out	Golpe de Estadio	Sergio Cabrera Category:Articles with hCards	Not Nominated
2001 (74th)	Our Lady of the Assassins	La virgen de los sicarios	Barbet Schroeder Category:Articles with hCards	Not Nominated
2005 (78th)	Wandering Shadows	La Sombra del Caminante	Ciro Guerra Category:Articles with hCards	Not Nominated
2006 (79th)	A Ton of Luck	Soñar no cuesta nada	Rodrigo Triana Category:Articles with hCards	Not Nominated
2007 (80th)	Satanás	Satanás	Andi Baiz Category:Articles with hCards	Not Nominated
2008 (81st)	Dog Eat Dog	Perro come Perro	Carlos Moreno Category:Articles with hCards	Not Nominated
2009 (82nd)	The Wind Journeys	Los viajes del viento	Ciro Guerra Category:Articles with hCards	Not Nominated
2010 (83rd)	Crab Trap	El vuelco del cangrejo	Oscar Ruiz Navia Category:Articles with hCards	Not Nominated
2012 (85th)	The Snitch Cartel	El Cartel de los Sapos	Carlos Moreno	Not Nominated
