Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1932	J. P. H. Woltman	Mence Dros-Canters	J. P. H. Woltman Dirk Stikker	Mence Dros-Canters K. Pabst	J. P. H. Woltman Mence Dros-Canters
1933	J. P. H. Woltman	C. Jansen	J. M. de Haas Edward H. den Hoed	Annie W. Ernst C. Jansen	J. M. de Haas C. Jansen
1934	Edward H. den Hoed	C. Jansen	J. M. de Haas Edward H. den Hoed	Annie W. Ernst C. Jansen	J. M. de Haas C. Jansen
1935	J. P. H. Woltman	C. Jansen	J. P. H. Woltman W. E. Dingemans	Annie W. Ernst C. Jansen	J. P. H. Woltman Annie W. Ernst
1936	Edward H. den Hoed	C. Jansen	J. M. de Haas Edward H. den Hoed	Annie W. Ernst C. Jansen	J. M. de Haas C. Jansen
1937	J. M. de Haas	C. Jansen	J. M. de Haas H. Ernst	L. van der Laan C. Jansen	J. M. de Haas C. Jansen
1938	Edward H. den Hoed	Annie W. Ernst	E. H. P. Swarte Edward H. den Hoed	Annie W. Ernst H. Dresselhuys	J. M. de Haas A. Smits
1939–1952	no competition	no competition	no competition	no competition	no competition
1953	Edward H. den Hoed	Annie W. Koch	J. M. de Haas Edward H. den Hoed	no competition	Leen Verhoef Els Robbé
1954	Edward H. den Hoed	Annie W. Koch	Leen Verhoef Bob Loo	Annie W. Koch P. van Aken	Bob Loo C. C. Boelens
1955	Edward H. den Hoed	Els Robbé	Leen Verhoef Bob Loo	Cootje Verhoef Els Robbé	Leen Verhoef Els Robbé
1956	Bob Loo	Annie W. Koch	Leen Verhoef Bob Loo	Annie W. Koch Agnes van Leeuwen	P. Bosman Annie W. Koch
1957	Bob Loo	Frieda Quist	H. K. Loo Bob Loo	Annie W. Koch Frieda Quist	J. Berendsen Els Robbé
1958	Bob Loo	Els Robbé	Ruud de Wit Rob de Wit	Annie W. Koch Frieda Quist	Bob Loo Frieda Quist
1959	Ruud de Wit	Els Robbé	Ruud de Wit Rob de Wit	Els Robbé Agnes van Leeuwen	Piet Veentjer Els Robbé
1960	Pim Seth Paul	Els Robbé	Hans van der Burg Karel van der Burg	Marloes van Swelm Janny Keps	Lex Meijer Frieda Quist
1961	Pim Seth Paul	Els Robbé	Pim Seth Paul Lex Meijer	Els Robbé Wil Haye	Pim Seth Paul Marloes van Swelm
1962	Pim Seth Paul	Imre Rietveld	Pim Seth Paul Lex Meijer	Marja Ridder Imre Rietveld	Pim Seth Paul Marloes van Swelm
1963	Cees Broedelet	Imre Rietveld	Jo van der Sluys Hans Sweep	Marja Ridder Imre Rietveld	Jos Rijmers Imre Rietveld
1964	Herman Leidelmeijer	Imre Rietveld	Henk Weys Vic Leunissen	Marja Ridder Imre Rietveld	Lex Meijer Marloes van Swelm
1965	Herman Leidelmeijer	Agnes Geene	Pim Seth Paul Leo Kountul	Agnes Geene Imre Rietveld	Jos Rijmers Marja Ridder
1966	Huub van Ginneken	Agnes Geene	Herman Leidelmeijer Leo Kountul	Marja Ridder Lili ter Metz	Ruud van Ginneken Felice de Nooyer
1967	Herman Leidelmeijer	Felice de Nooyer	Herman Leidelmeijer Leo Kountul	Marja Ridder Agnes Geene	Ruud van Ginneken Felice de Nooyer
1968	Herman Leidelmeijer	Agnes Geene	Herman Leidelmeijer Leo Kountul	Margot ter Metz Lili ter Metz	Herman Leidelmeijer Lili ter Metz
1969	Herman Leidelmeijer	Joke van Beusekom	Huub van Ginneken Ruud van Ginneken	Joke van Beusekom Felice do Nooyer	Herman Leidelmeijer Lili ter Metz
1970	Ruud van Ginneken	Joke van Beusekom	Rudy Hartog Ad Verhoof	Marja Ridder Marjan Luesken	Ruud van Ginneken Felice de Nooyer
1971	Rob Ridder	Joke van Beusekom	Herman Leidelmeijer Piet Ridder	Joke van Beusekom Felice de Nooyer	Ruud van Ginneken Felice de Nooyer
1972	Ruud van Ginneken	Joke van Beusekom	Herman Leidelmeijer Piet Ridder	Lili ter Metz Agnes van der Meulen	Piet Ridder Lili ter Metz
1973	Ruud van Ginneken	Agnes van der Meulen	Huub van Ginneken Clemens Wortel	Marja Ridder Marjan Luesken	Huub van Ginneken Joke van Beusekom
1974	Rob Ridder	Joke van Beusekom	Boudewijn Ridder Rob Ridder	Marja Ridder Agnes van der Meulen	Huub van Ginneken Joke van Beusekom
1975	Rob Ridder	Joke van Beusekom	Clemens Wortel Guus de Vogel	Joke van Beusekom Marjan Luesken	Rob Ridder Marja Ridder
1976	Rob Ridder	Joke van Beusekom	Boudewijn Ridder Rob Ridder	Joke van Beusekom Marjan Luesken	Guus van der Vlugt Marjan Luesken
1977	Rob Ridder	Joke van Beusekom	Rob Ridder Piet Ridder	Joke van Beusekom Marjan Ridder	Rob Ridder Marjan Ridder
1978	Rob Ridder	Joke van Beusekom	Rob Ridder Piet Ridder	Joke van Beusekom Marjan Ridder	Rob Ridder Marjan Ridder
1979	Rob Ridder	Joke van Beusekom	Herman Leidelmeijer Guus de Vogel	Joke van Beusekom Marjan Ridder	Rob Ridder Marjan Ridder
1980	Rob Ridder	Joke van Beusekom	Herman Leidelmeijer Guus van der Vlugt	Hanke de Kort Marja Ravelli	Rob Ridder Joke van Beusekom
