Date	Opponent	Score	Loss	Record
April 8	@ Rangers	6 - 3	Stieb (0-1)	0-1
April 9	@ Rangers	3 - 1	Correa (0-1)	1-1
April 10	@ Rangers	11 - 10	Harris (0-1)	2-1
April 11	@ Royals	6 - 2	Gubicza (0-1)	3-1
April 12	@ Royals	1 - 0	Acker (0-1)	3-2
April 13	@ Royals	7 - 4	Stieb (0-2)	3-3
April 14	Orioles	2 - 1	Alexander (1-1)	3-4
April 16	Orioles	Postponed (rain) Rescheduled for April 17	Postponed (rain) Rescheduled for April 17	Postponed (rain) Rescheduled for April 17
April 17	Orioles	5 - 3	Key (0-1)	3-5
April 17	Orioles	7 - 4	Martinez (0-1)	4-5
April 18	Royals	6 - 4	Stieb (0-3)	4-6
April 19	Royals	6 - 5	Black (1-2)	5-6
April 20	Royals	6 - 4	Lamp (0-1)	5-7
April 21	Rangers	7 - 6	Harris (2-2)	6-7
April 22	Rangers	10 - 1	Clancy (1-1)	6-8
April 23	Rangers	9 - 8	Lamp (0-2)	6-9
April 25	@ Orioles	2 - 1 (10)	Aase (1-2)	7-9
April 26	@ Orioles	11 - 5	Henke (2-1)	7-10
April 27	@ Orioles	8 - 0	Dixon (2-1)	8-10
April 29	Angels	4 - 3	Eichhorn (2-1)	8-11
April 30	Angels	6 - 4	Moore (1-1)	9-11
