Week 1	Week 2	Week 3	Week 4	Week 5	Week 6	Week 7	Week 8	Week 9	Week 10 FINAL
No nominations	Alexandra	Not eligible	Alexandra, Maeva	Not eligible	Isabelle, Alexandra	Not eligible	Alexandra, Samantha	No nominations	Winner
No nominations	Alice	Not eligible	Isabelle, Alice	Nominated	Secret Room	Exempt	Marilyn, Samantha	No nominations	Runner up
No nominations	Not eligible	Cyril	Not eligible	John-David Hayder	Secret Room	Matthias	Exempt	No nominations	Third place
No nominations	Not eligible	Matthias	Not eligible	Laurent (x2) Laurent (x2)	Not eligible	Matthias	Not eligible	No nominations	Fourth place
No nominations	Not eligible	Cyril	Not eligible	John-David Hayder	Not eligible	Matthias	Not eligible	No nominations	Evicted (Day 64)
No nominations	Marilyn	Exempt	Isabelle, Alice	Not eligible	Isabelle, Marilyn	Not eligible	Marilyn, Samantha	No nominations	Evicted (Day 64)
No nominations	Not eligible	Cyril	Not eligible	Hayder Hayder	Not eligible	Matthias	Not eligible	Evicted (Day 57)	Evicted (Day 57)
No nominations	Alexandra	Not eligible	Alexandra, Maeva	Not eligible	Isabelle, Alexandra	Nominated	Evicted (Day 50)	Evicted (Day 50)	Evicted (Day 50)
No nominations	Exempt	Cyril	Not eligible	Hayder Hayder	Not eligible	Evicted (Day 43)	Evicted (Day 43)	Evicted (Day 43)	Evicted (Day 43)
No nominations	Alexandra	Not eligible	Alexandra, Maeva	Not eligible	Isabelle, Alexandra	Ejected (Day 43)	Ejected (Day 43)	Ejected (Day 43)	Ejected (Day 43)
No nominations	Alice	Not eligible	Alexandra, Isabelle	Not eligible	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)	Evicted (Day 36)
Nominated	Not eligible	Matthias	Not eligible	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)	Evicted (Day 29)
Not in house	Nathalie	Nominated	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)	Evicted (Day 22)
No nominations	Not eligible	Cyril	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)	Walked (Day 21)
No nominations	Nominated	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)	Evicted (Day 15)
Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)	Ejected (Day 3)
Maeva	Alexandra Caroline	Cyril Nicolas	Alexandra Isabelle Maeva	Cyril Hayder	Alexandra Isabelle	Matthias Quentin	Marilyn Samantha	All housemates	All housemates
See note 1	See notes 2 , 3 , 4	See notes 4 , 5 , 6	See note 7	See notes 8 ,9,10,11	See notes 12 ,13	See notes 14 ,15,16	See notes 17 ,18	See note 19	See note 19
none	none	Nathalie	none	none	none	none	none	none	none
Marie-France	none	none	none	none	Laurent	none	none	none	none
Maeva 85% to save	Caroline 37.67% to save	Nicolas 31% to save	Maeva 24.1% to save	Hayder 37.8% to save	Isabelle 28% to save	Quentin 33.2% to save	Samantha 34% to save	John-David 10.5% to save	Alexandra 11% to win
Maeva 85% to save	Caroline 37.67% to save	Nicolas 31% to save	Maeva 24.1% to save	Hayder 37.8% to save	Isabelle 28% to save	Quentin 33.2% to save	Samantha 34% to save	Marilyn 14.9% to save	Cyril 32% to win
