Rank	Operators Name	Technology	Subscribers (in millions)	Ownership	Market Share
2	Reliance Communications	CdmaOne EVDO GSM HSPA WiMAX	154.11 (September 2012)	Reliance ADAG (67%) Public (26%)	N/A
3	Vodafone	GSM EDGE HSDPA	155.5 (October 2013)	Vodafone Group (100%)	22.91% (October 2013)
4	Idea Cellular	GSM EDGE HSPA	127.2 (Q2 2013)	Aditya Birla (49.05%) Axiata Group Berhad (19.96%)	18.74% (October 2013)
5	BSNL	GSM EDGE HSDPA HSPA+ CdmaOne EVDO WiMAX WiFi	97.17 (October 2013)	State-owned	14.31% (October 2013)
6	Tata DoCoMo Virgin Mobile India Talk24/T24	CDMA EVDO GSM EDGE HSPA+	90.09 (August 2012)	Tata Teleservices (74%) NTT DoCoMo (26%)	N/A
7	Aircel	GSM EDGE HSDPA	63.20 (October 2013)	Maxis Communications (74%) Apollo Hospital (26%)	9.32% (October 2013)
9	MTS India	CDMA EVDO	14.01 (October 2011)	Sistema (73.71%) Shyam Group (23.79%)	N/A
10	Videocon	GSM GPRS EDGE	3.24 (October 2013)	Videocon	0.48% (October 2013)
11	MTNL	GSM HSDPA CDMA	3.61 (October 2013)	State-owned	0.53% (October 2013)
12	Loop Mobile	GSM EDGE	3.02 (October 2013)	Khaitan Holding Group (100%)	0.45% (October 2013)
