Track	Song Title	Artist	Album	Legends Track?
1	" Lights and Sounds "	Yellowcard	5.4 Lights and Sounds	Yes
2	" Break on Through (To the Other Side) "	The Doors	5.4 The Doors	No
3	"Shotgun"	The Outline	5.4 You Smash It, We'll Build Around It	Yes
4	" Life Burns! "	Apocalyptica	5.4 Apocalyptica	No
5	" Top of the World "	The All-American Rejects	5.4 Move Along	No
6	"The Big Jump"	The Chemical Brothers	5.4 Push the Button	No
7	"Stand Up"	Pennywise	5.4 The Fuse	Yes
8	"Tuned to a Different Station"	Dogs	5.4 Turn Against This Land	Yes
9	"The World"	The Starting Line	5.4 Based on a True Story	No
10	" Daft Punk Is Playing at My House "	LCD Soundsystem	5.4 LCD Soundsystem	No
11	" Do What You Want "	OK Go	5.4 Oh No	Yes
12	"Band-Girls-Money"	Tsar	5.4 Band-Girls-Money	Yes
13	"Come On"	Andy Hunter°	5.4 Life	No
14	" Almost Here "	The Academy Is...	5.4 Almost Here	Yes
15	"Riot Radio"	The Dead 60s	5.4 The Dead 60s	Yes
16	"Nü Rock"	Morningwood	5.4 Morningwood	Yes
17	"Today"	Junkie XL	4.2 Today	Yes
18	" Heard That Sound "	MxPx	5.4 Panic	Yes
19	"Bundy"	Animal Alpha	5.4 Pheromones	Yes
20	"I Want"	Goldfinger	5.4 Disconnection Notice	Yes
21	"Hand of Blood"	Bullet for My Valentine	5.4 Hand of Blood	No
22	" Dance, Dance "	Fall Out Boy	5.4 From Under the Cork Tree	No
23	"All the Rage"	Funeral for a Friend	5.4 Hours	No
24	" Apply Some Pressure "	Maxïmo Park	5.4 A Certain Trigger	No
25	"Better World"	Infusion	5.4 Six Feet Above Yesterday	No
26	" An Honest Mistake "	The Bravery	5.4 The Bravery	No
27	"Ink"	Finch	5.4 Say Hello to Sunshine	Yes
28	"The Hey Man!"	Emanuel	5.4 Soundtrack to a Headrush	Yes
29	"As the Tables Turn"	CKY	5.4 An Answer Can Be Found	No
30	" Red Flag "	Billy Talent	5.4 Billy Talent II	Yes
31	"Wake the Dead"	Comeback Kid	5.4 Wake the Dead	Yes
32	" Helicopter "	Bloc Party	5.4 Silent Alarm	No
33	"Flyover"	Asian Dub Foundation	5.4 Tank	No
34	"Straight to Video"	Mindless Self Indulgence	5.4 You'll Rebel to Anything	Yes
35	" Beast and the Harlot "	Avenged Sevenfold	5.4 City of Evil	No
36	"First Day"	Timo Maas	5.4 Pictures	No
37	"The Great Escape"	We Are Scientists	5.4 With Love and Squalor	Yes
38	"F.I.G.H.T."	Unwritten Law	5.4 Here's to the Mourning	No
39	"Fear and Loathing"	The Black Velvets	5.4 The Black Velvets	Yes
40	"Lullaby"	Thrice	5.4 Vheissu	No
41	"Shot Down"	Nine Black Alps	5.4 Everything Is	Yes
