Name	Population (2002 census)	Population (2007 estimation)	Population (2011 census)	Area (km²)	Density (pop/km²)
Braşov	283901	277945	253200	267.32	1,204
Codlea	24256	24550	21708	132.79	182
Săcele	30044	31796	30798	320	93
Ghimbav	5100	5357	4698	28.08	181.62
Predeal	5625	5174	4755	58.4	96.14
Râşnov	15436	16055	15022	164.36	94
Cristian	3952	4300	4490	27.73	142.51
Sânpetru	3401	3759	4819	30.74	110.63
Hălchiu	4072	4560	4218	56.67	71.85
Tărlungeni	7413	7996	8320	135.66	54.65
Prejmer	8323	8876	8472	60.48	137.61
Hărman	4437	4775	5402	52.79	84.05
Bod	3942	4173	3994	33.56	117.46
