No. in series	No. in season	Title	Directed by	Written by	Original air date	Prod. code	U.S. viewers (millions)
22	1	" Walk a Mile in My Pants "	Eric Dean Seaton	Amy Engelberg & Wendy Engelberg	March14,2010	202	6.3
23	2	"Sonny Get Your Goat"	Eric Dean Seaton	Dava Savel	March21,2010	204	3.2
24	3	"Gassie Passes"	Eric Dean Seaton	Dava Savel	March28,2010	205	2.9
25	4	"Sonny with a Song"	John Fortenberry	Michael Feldman & Steve Marmel	April11,2010	209	3.2
26	5	"High School Miserable"	Carl Lauten	Michael Feldman & Steve Marmel	April18,2010	206	5.4
27	6	"The Legend of Candy Face"	Eric Dean Seaton	Dan Cohen & F.J. Pratt	May2,2010	203	3.5
28	7	"Gummy with a Chance"	Carl Lauten	Josh Herman & Adam Schwartz	May9,2010	207	3.4
29	8	"Random Acts of Disrespect"	Leslie Kolins Small	Dan Cohen & F.J. Pratt	May16,2010	208	5.5
30	9	"Grady with a Chance of Sonny"	Eric Dean Seaton	Lanny Horn & Josh Silverstein	May23,2010	216	5.5
31	10	"Falling for the Falls"(Part 1)	Eric Dean Seaton	Michael Feldman & Steve Marmel	June13,2010	201	3.6
32	11	"Falling for the Falls"(Part 2)	Eric Dean Seaton	Michael Feldman & Steve Marmel	June20,2010	217	3.8
33–34	12–13	"Sonny with a Secret"	Eric Dean Seaton	Michael Feldman & Steve Marmel	July18,2010	212–213	6.1
35	14	"The Problem with Pauly"	Shelley Jensen	Josh Herman & Adam Schwartz	August8,2010	214	4.5
36	15	"That's So Sonny"	Eric Dean Seaton	Dava Savel	August29,2010	215	4.0
37	16	"Chad Without a Chance"	Eric Dean Seaton	Amy Engelberg & Wendy Engelberg	September19,2010	210	4.0
38	17	"My Two Chads"	Eric Dean Seaton	Dan Cohen & F.J. Pratt	September26,2010	211	4.0
39	18	"A So Random! Halloween Special"	Eric Dean Seaton	Josh Herman & Adam Schwartz	October17,2010	226	4.0
40	19	"Sonny with a 100% Chance of Meddling"	Ron Mosely	Lanny Horn & Josh Silverstein	October24,2010	219	4.7
41	20	"Dakota's Revenge"	Eric Dean Seaton	Dava Savel	November14,2010	223	3.7
42	21	"Sonny with a Kiss"	Eric Dean Seaton	Ellen Byron & Lissa Kapstrom	November21,2010	220	3.6
43	22	"A So Random! Holiday Special"	Eric Dean Seaton	Michael Feldman & Steve Marmel	November28,2010	218	3.8
44	23	"Sonny with a Grant"	Eric Dean Seaton	Michael Feldman & Steve Marmel	December5,2010	221	4.0
45	24	"Marshall with a Chance"	Shannon Flynn	Carla Banks Waddles	December12,2010	224	3.2
46	25	"Sonny with a Choice"	Eric Dean Seaton	Dan Cohen & F.J. Pratt	December19,2010	222	4.7
