Driver	Constructor	Laps	Time/Retired	Grid
Clay Regazzoni	Ferrari	60	1:01:25.34	3
Patrick Depailler	Tyrrell - Ford	60	+ 0:08.35	5
Jochen Mass	McLaren - Ford	60	+ 0:15.44	4
Ronnie Peterson	Lotus - Ford	60	+ 0:40.14	10
John Watson	Surtees - Ford	60	+ 0:45.55	6
Carlos Pace	Brabham - Ford	60	+ 0:45.90	7
Tom Pryce	Shadow - Ford	60	+ 0:46.66	8
James Hunt	Hesketh - Ford	59	+ 1 Lap	11
Chris Amon	Ensign - Ford	59	+ 1 Lap	9
Jacques Laffite	Williams - Ford	59	+ 1 Lap	13
Vittorio Brambilla	March - Ford	58	+ 2 Laps	12
Rolf Stommelen	Hill - Ford	58	+ 2 Laps	14
Tony Trimmer	Maki - Ford	54	+ 6 Laps	16
Jo Vonlanthen	Williams - Ford	51	+ 9 Laps	15
Jean-Pierre Jarier	Shadow - Ford	33	Transmission	1
Emerson Fittipaldi	McLaren - Ford	6	Clutch	2
