Date	Visitor	Score	Home	Decision	Attendance	Record
December 2	Tampa Bay	3 – 4	Philadelphia	Biron	19,227	12–7–5
December 4	New Jersey	3 – 2	Philadelphia	Biron	19,577	12–7–6
December 6	Philadelphia	2 – 1	Carolina	Niittymaki	14,061	13–7–6
December 9	NY Islanders	3 – 4	Philadelphia	Biron	19,037	14–7–6
December 11	Carolina	5 – 6	Philadelphia	Niittymaki	19,057	15–7–6
December 13	Pittsburgh	3 – 6	Philadelphia	Biron	19,811	16–7–6
December 16	Colorado	2 – 5	Philadelphia	Niittymaki	19,219	17–7–6
December 18	Philadelphia	2 – 5	Montreal	Niittymaki	21,273	17–8–6
December 20	Washington	1 – 7	Philadelphia	Niittymaki	19,897	18–8–6
December 21	Philadelphia	2 – 3	New Jersey	Niittymaki	14,426	18–8–7
December 23	Ottawa	4 – 6	Philadelphia	Nittymaki	19,578	19–8–7
December 26	Philadelphia	1 – 5	Chicago	Biron	22,712	19–9–7
December 27	Philadelphia	0 – 3	Columbus	Niittymaki	18,402	19–10–7
December 30	Philadelphia	3 – 2	Vancouver	Biron	18,630	20–10–7
