District	Vacator	Reason for change	Successor	Date successor seated
New Jersey 2nd	Vacant	Rep. T. Millet Hand died during previous congress	Milton W. Glenn (R)	November 5, 1957
Illinois 7th	James Bowler (D)	Died July 18, 1957	Roland V. Libonati (D)	December 31, 1957
Georgia 7th	Henderson L. Lanham (D)	Died November 10, 1957	Harlan E. Mitchell (D)	January 8, 1958
Pennsylvania 21st	Augustine B. Kelley (D)	Died November 20, 1957	John H. Dent (D)	January 21, 1958
Tennessee 8th	Jere Cooper (D)	Died December 18, 1957	Robert "Fats" Everett (D)	February 1, 1958
New Jersey 14th	Vincent J. Dellay (R)	Changed political affiliation some time in 1958	Vincent J. Dellay (D)	????, 1958
Illinois 14th	Russell W. Keeney (R)	Died January 11, 1958	Vacant	Not filled this term
Minnesota 1st	August H. Andresen (R)	Died January 14, 1958	Al Quie (R)	February 18, 1958
Wisconsin 1st	Lawrence H. Smith (R)	Died January 22, 1958	Vacant	Not filled this term
New Mexico At-large	John J. Dempsey (D)	Died March 11, 1958	Vacant	Not filled this term
Louisiana 8th	George S. Long (D)	Died March 22, 1958	Vacant	Not filled this term
Illinois 4th	William E. McVey (R)	Died August 10, 1958	Vacant	Not filled this term
Pennsylvania 28th	Herman P. Eberharter (D)	Died September 9, 1958	Vacant	Not filled this term
Illinois 20th	Sid Simpson (R)	Died October 26, 1958	Vacant	Not filled this term
