Year	Champions	Result	Runners-up	Playoffs MVP
1997	Busan Kia Enterprise	4–1	Wonju Naray Blue Bird	Kang Dong-Hee ( Kia )
1997–1998	Daejeon Hyundai Dynat	4–3	Busan Kia Enterprise	Hur Jae ( Kia )
1998–1999	Daejeon Hyundai Dynat	4–1	Busan Kia Enterprise	Cho Sung-Won ( Hyundai )
1999–2000	Cheongju SK Knights	4–2	Daejeon Hyundai Gullivers	Seo Jang-Hoon ( SK )
2000–2001	Suwon Samsung Thunders	4–1	Changwon LG Sakers	Joo Hee-Jung ( Samsung )
2001–2002	Daegu Tongyang Orions	4–3	Seoul SK Knights	Marcus Hicks ( Tongyang )
2002–2003	Wonju TG Xers	4–2	Daegu Tongyang Orions	David Jackson ( TG )
2003–2004	Jeonju KCC Egis	4–3	Wonju TG Sambo Xers	Lee Sang-Min ( KCC )
2004–2005	Wonju TG Sambo Xers	4–2	Jeonju KCC Egis	Kim Joo-Sung ( TG Sambo )
2005–2006	Seoul Samsung Thunders	4–0	Ulsan Mobis Phoebus	Kang Hyuk ( Samsung )
2006–2007	Ulsan Mobis Phoebus	4–3	Busan KTF Magic Wings	Yang Dong-Geun ( Mobis )
2007–2008	Wonju Dongbu Promy	4–1	Seoul Samsung Thunders	Kim Joo-Sung ( Dongbu )
2008–2009	Jeonju KCC Egis	4–3	Seoul Samsung Thunders	Choo Seung-Kyun ( KCC )
2009–2010	Ulsan Mobis Phoebus	4–2	Jeonju KCC Egis	Ham Ji-Hoon ( Mobis )
2010–2011	Jeonju KCC Egis	4–2	Wonju Dongbu Promy	Ha Seung-Jin ( KCC )
2011–2012	Anyang KGC	4–2	Wonju Dongbu Promy	Oh Se-Keun ( KGC )
2012–2013	Ulsan Mobis Phoebus	4–0	Seoul SK Knights	Yang Dong-Geun ( Mobis )
