Player	No.	Nationality	Position	Years in Toronto	School/Club Team
Mark Baker	3	United States	Guard	1998-99	Ohio State
Marcus Banks	3	United States	Guard	2009-10	UNLV
Leandro Barbosa	20	Brazil	Guard	2010-2012	Tilibra/Copimax ( Brazil )
Andrea Bargnani	7	Italy	Forward-Center	2006-2013	Benetton Treviso ( Italy )
Andre Barrett	12	United States	Point guard	2006	Seton Hall
Maceo Baston	9, 14	United States	Forward	2003, 2007-08	Michigan
Mengke Bateer	14, 42	China	Center	2003-04	Beijing Ducks ( China )
Lonny Baxter	35	United States	Forward	2003-04	Maryland
Jerryd Bayless	5	United States	Guard	2010-2012	Arizona
Marco Belinelli	0	Italy	Guard	2009-2010	Fortitudo Bologna ( Italy )
Benoit Benjamin	7	United States	Center	1996	Creighton
Chauncey Billups	3	United States	Guard	1998	Colorado
Corie Blount	44	United States	Forward-Center	2004	Cincinnati
Muggsy Bogues	14	United States	Guard	1999-2001	Wake Forest
Matt Bonner	16	United States	Forward	2004-06	Florida
Chris Bosh	4	United States	Forward-Center	2003-10	Georgia Tech
Michael Bradley	5, 33	United States	Forward-Center	2001-04	Villanova
Primož Brezec	1	Slovenia	Center	2008	KK Union Olimpija ( Slovenia )
Damone Brown	54	United States	Forward	2002-03	Syracuse
Dee Brown	7	United States	Guard	1998-2000	Jacksonville
Rick Brunson	9	United States	Guard	2003	Temple
Rasual Butler	9	United States	Guard-Forward	2011-12	La Salle
