Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Devil Rays	5 - 3	Douglass (0-1)	10,750	45-59
August 2	Indians	6 - 1	Lee (10-4)	17,549	46-59
August 3	Indians	7 - 6	Betancourt (4-5)	15,025	47-59
August 4	Indians	14 - 5	Towers (6-4)	15,675	47-60
August 5	Indians	6 - 3 (10)	Ligtenberg (1-4)	30,037	47-61
August 6	@ Yankees	11 - 4	Douglass (0-2)	48,900	47-62
August 7	@ Yankees	6 - 0	Lilly (8-8)	54,025	47-63
August 8	@ Yankees	8 - 2	Batista (9-7)	52,616	47-64
August 9	@ Yankees	5 - 4	Loaiza (9-6)	49,853	48-64
August 10	@ Indians	2 - 0	Bush (1-3)	19,942	48-65
August 11	@ Indians	3 - 2	Frederick (0-1)	23,696	48-66
August 12	@ Indians	6 - 2	Ligtenberg (1-5)	22,734	48-67
August 13	Orioles	4 - 0	Batista (9-8)	21,234	48-68
August 14	Orioles	7 - 2	Borkowski (3-3)	35,768	49-68
August 15	Orioles	11 - 7	Chulk (0-3)	26,132	49-69
August 16	@ Red Sox	8 - 4	Miller (1-2)	35,271	49-70
August 17	@ Red Sox	5 - 4	Frederick (0-2)	35,105	49-71
August 18	@ Red Sox	6 - 4	Batista (9-9)	34,867	49-72
August 20	@ Orioles	14 - 4	Borkowski (3-4)	35,024	50-72
August 21	@ Orioles	10 - 4	Cabrera (9-6)	38,079	51-72
August 22	@ Orioles	8 - 5	Bédard (5-8)	44,482	52-72
August 23	Red Sox	3 - 0	Martínez (13-5)	27,145	53-72
August 24	Red Sox	5 - 4	Batista (9-10)	22,217	53-73
August 25	Red Sox	11 - 5	Towers (9-5)	22,479	53-74
August 26	Yankees	7 - 4	Frasor (4-4)	35,682	53-75
August 27	Yankees	8 - 7	Miller (2-3)	35,436	53-76
August 28	Yankees	18 - 6	Lilly (9-9)	43,541	53-77
August 29	Yankees	6 - 4	Mussina (9-8)	44,072	54-77
August 31	Mariners	7 - 5	Ligtenberg (1-6)	21,174	54-78
