Week	Date	Opponent	Result	Record	Game site
1	Bye	Bye	Bye	Bye	Bye
2	April 10, 2004	Columbus Wardogs	W 38–33	1–0	Wachovia Arena
3	April 16, 2004	Green Bay Blizzard	W 75–39	2–0	Resch Center
4	April 24, 2004	Quad City Steamwheelers	W 40–27	3–0	Wachovia Arena
5	May 1, 2004	Louisville Fire	W 59–51	4–0	Wachovia Arena
6	May 8, 2004	Albany Conquest	L 52–54	4–1	Times Union Center
7	May 15, 2004	Peoria Pirates	W 33–30	5–1	Carver Arena
8	May 22, 2004	Cape Fear Wildcats	W 48–41	6–1	Wachovia Arena
9	May 29, 2004	Louisville Fire	L 48–47	6–2	Freedom Hall
10	June 5, 2004	Manchester Wolves	W 57–41	7–2	Wachovia Arena
11	June 12, 2004	Quad City Steamwheelers	W 46–39	8–2	i wireless Center
12	June 18, 2004	Albany Conquest	W 69–43	9–2	Times Union Center
13	June 26, 2004	Cape Fear Wildcats	L 57–49	9–3	Wachovia Arena
15	July 10, 2004	Manchester Wolves	W 61–42	10–3	Wachovia Arena
16	July 17, 2004	Albany Conquest	W 55–31	11–3	Wachovia Arena
17	July 24, 2004	Cape Fear Wildcats	W 53–46	12–3	Crown Coliseum
18	July 30, 2004	Manchester Wolves	W 44–37	13–3	Verizon Wireless Arena
