District	Senator	Party	Residence	First elected	Term Limited
1	Steve Buehrer	Republican	Delta	2006	2014
2	Mark Wagoner	Republican	Toledo	2008 (Appt.)	2016
3	David Goodman	Republican	New Albany	2001 (Appt.)	2010
4	Gary Cates	Republican	West Chester	2004	2012
5	Tom Roberts	Democratic	Dayton	2002 (Appt.)	2010
6	Peggy Lehner	Republican	Kettering	2008 (Appt.)	2016
7	Robert Schuler	Republican	Cincinnati	2002	2010
8	Bill Seitz	Republican	Cincinnati	2007 (Appt.)	2016
9	Eric Kearney	Democratic	Cincinnati	2005 (Appt.)	2014
10	Steve Austria	Republican	Beavercreek	2000	2008
11	Teresa Fedor	Democratic	Toledo	2002	2010
12	Keith Faber	Republican	Celina	2007 (Appt.)	2016
13	Sue Morano	Democratic	Lorain	2006	2014
14	Tom Niehaus	Republican	New Richmond	2004	2012
15	Ray Miller	Democratic	Columbus	2002	2010
16	Steve Stivers	Republican	Columbus	2003 (Appt.)	2012
17	John Carey	Republican	Wellston	2002	2010
18	Timothy Grendell	Republican	Chesterland	2004	2012
19	Bill Harris	Republican	Ashland	2000 (Appt.)	2010
20	Joy Padgett	Republican	Coshocton	2004	2012
21	Shirley Smith	Democratic	Cleveland	2006	2014
22	Ron Amstutz	Republican	Wooster	2000	2008
23	Dale Miller	Democratic	Cleveland	2006 (Appt.)	2014
24	Tom Patton	Republican	Strongsville	2008 (Appt.)	2016
25	Nina Turner	Democratic	Cleveland	2008 (Appt.)	2018
26	Larry Mumper	Republican	Loudonville	1997 (Appt.)	2008
27	Kevin Coughlin	Republican	Cuyahoga Falls	2001 (Appt.)	2010
28	Tom Sawyer	Democratic	Akron	2007 (Appt.)	2016
29	Kirk Schuring	Republican	Canton	2002	2010
30	Jason Wilson	Democratic	Columbiana	2007 (Appt.)	2016
31	Tim Schaffer	Republican	Lancaster	2006	2014
32	Capri Cafaro	Democratic	Hubbard	2007 (Appt.)	2016
