Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	UD Las Palmas	30	39	16	7	7	58	33	+25
2	Hércules CF	30	38	17	4	9	55	40	+15
3	CD Málaga	30	38	16	6	8	60	31	+29
4	Granada CF	30	36	17	2	11	63	36	+27
5	CD Castellón	30	33	16	1	13	67	61	+6
6	CD Tenerife	30	33	14	5	11	56	41	+15
7	Atlético Tetuán	30	33	15	3	12	61	46	+15
8	UD España Tánger	30	31	15	1	14	60	57	+3
9	CD Badajoz	30	30	11	8	11	66	55	+11
10	Balomp. Linense	30	30	13	3	14	46	59	-13
11	Jerez CD	30	29	12	5	13	50	54	-4
12	Real Murcia	30	27	10	7	13	45	54	-9
13	UD Melilla	30	26	11	4	15	37	70	-33
14	CD Alcoyano	30	25	8	9	13	35	49	-14
15	CD Mestalla	30	23	10	3	17	48	58	-10
16	RCD Mallorca	30	9	3	3	24	40	103	-63
