High School	Location	Founded	Affiliation	Enrollment	Nickname	Division
Ballard	Seattle	1903	Public ( Seattle P.S. )	1649	s Beaver	Crown^
Bothell	Bothell	1959	Public ( Northshore S.D. )	1800	s Cougar	Crown
Eastlake	Sammamish	1993	Public ( Lake Washington S.D. )	1329	Wolves	Crest^
Garfield	Seattle	1920	Public ( Seattle P.S. )	1702	s Bulldog	Crown^
Inglemoor	Kenmore	1964	Public ( Northshore S.D. )	1880	Vikings	Crown
Issaquah	Issaquah	1905	Public ( Issaquah S.D. )	1844	s Eagle	Crest
Newport	Bellevue	1964	Public ( Bellevue S.D. )	1712	s Knight	Crest
Redmond	Redmond	1965	Public ( Lake Washington S.D. )	1442	Mustangs	Crest^
Roosevelt	Seattle	1922	Public ( Seattle P.S. )	1710	Rough Riders	Crown^
Skyline	Sammamish	1997	Public ( Issaquah S.D. )	1889	ns Sparta	Crest
