Country	Total population (millions)	Total Foreign-born (millions)	Born in other EU state (millions)	Born in a non EU state (millions)
Germany	81.802	9.812	3.396	6.415
France	64.716	7.196	2.118	5.078
United Kingdom	62.008	7.012	2.245	4.767
Spain	46.000	6.422	2.328	4.094
Italy	61.000	4.798	1.592	3.205
Netherlands	16.575	1.832	0.428	1.404
Greece	11.305	0.960	0,320	0.640
Sweden	9.340	1.337	0.477	0.859
Austria	8.367	1.276	0.512	0.764
Belgium	10.666	1.380	0.695	0.685
Portugal	10.637	0.793	0.191	0.602
Denmark	5.534	0.500	0.152	0.348
EU 27	501.098	47.348	15.980	31.368
