Res.	Record	Opponent	Method	Round
Loss	5-10	Mario Sperry	TKO (cut)	1
Win	5-9	Egidijus Valavicius	Decision (4-0 points)	2
Loss	4-9	Magomedkhan Gamzatkhanov	Decision	2
Loss	4-8	Tommy Sauer	KO (punch)	1
Loss	4-7	Dan Severn	Decision (unanimous)	2
Win	4-6	Carlos Clayton	Submission (armbar)	1
Loss	3-6	Ricardo Arona	Decision (unanimous)	2
Loss	3-5	Antônio Rodrigo Nogueira	Decision (majority)	2
Win	3-4	Ricardo Fyeet	Submission (achilles lock)	1
Win	2-4	Leonardo Castello Branco	Submission (kneebar)	1
Loss	1-4	Yoshihisa Yamamoto	Submission	1
Loss	1-3	Magomedkhan Gamzatkhanov	Submission	1
Loss	1-2	Akira Maeda	Submission (rear naked choke)	1
Win	1-1	Zaza Tkeshelashvili	N/A	N/A
Loss	0-1	Hans Nijman	TKO	N/A
