Team	City	Total Seasons	Seasons	Highest League
Toronto Blizzard	Toronto, Ontario	6	1987-1992	Example
Hamilton Steelers	Hamilton, Ontario	5	1987-1991	Example
North York Rockets	North York, Ontario	6	1987-1992	Example
Ottawa Intrepid	Ottawa, Ontario	4	1987-1990	Example
Montreal Supra	Montreal, Quebec	5	1988-1992	Example
Vancouver 86ers	Vancouver, British Columbia	6	1987-1992	Example
Edmonton Brickmen	Edmonton, Alberta	4	1987-1990	Example
Calgary Strikers	Calgary, Alberta	3	1987-1989	Example
Winnipeg Fury	Winnipeg, Manitoba	6	1987-1992	Example
Victoria Vistas	Victoria, British Columbia	2	1989-1990	Example
London Lasers	London, Ontario	2	1990, 1992	Example
Kitchener Spirit	Kitchener, Ontario	2	1990-1991	Example
Nova Scotia Clippers	Halifax, Nova Scotia	1	1991	Example
