Call sign	Frequency MHz	City of license	ERP W	Class	FCC info
W201DB	88.1	McRae, Georgia	3	D	FCC
W220DN	91.9	Soperton, Georgia	38	D	FCC
K216GA	91.1	Chanute, Kansas	140	D	FCC
W273BO	102.5	Manistee, Michigan	19	D	FCC
K226AV	93.1	Beeville, Texas	115	D	FCC
K217FB	91.3	Brownfield, Texas	200	D	FCC
K220JC	91.9	Childress, Texas	170	D	FCC
K288FU	105.5	Edna, Texas	250	D	FCC
K272EJ	102.3	Kenedy, Texas	50	D	FCC
K218DZ	91.5	Levelland, Texas	92	D	FCC
W214BS	90.7	Black River Falls, Wisconsin	10	D	FCC
K201HS	88.1	Worland, Wyoming	50	D	FCC
W288BT	105.5	St. Clair, Michigan	8	D	FCC
