Season	Winner	Team	Position	Win #
2012–13	Tyler Johnson	Syracuse Crunch	C	1
2011–12	Cory Conacher	Norfolk Admirals	LW	1
2010–11	Corey Locke	Binghamton Senators	C	1
2009–10	Keith Aucoin	Hershey Bears	C	1
2008–09	Alexandre Giroux	Hershey Bears	LW	1
2007–08	Jason Krog	Chicago Wolves	C	1
2006–07	Darren Haydar	Chicago Wolves	RW	1
2005–06	Donald MacLean	Grand Rapids Griffins	C	1
2004–05	Jason Spezza	Binghamton Senators	C	1
2003–04	Jason LaBarbera	Hartford Wolf Pack	G	1
2002–03	Jason Ward	Hamilton Bulldogs	RW	1
2001–02	Eric Boguniecki	Worcester IceCats	C	1
2000–01	Derek Armstrong	Hartford Wolf Pack	LW	1
1999–00	Martin Brochu	Portland Pirates	G	1
1998–99	Randy Robitaille	Providence Bruins	C	1
1997–98	Steve Guolla	Kentucky Thoroughblades	C	1
1996–97	Jean-Francois Labbe	Hershey Bears	G	1
1995–96	Brad Smyth	Carolina Monarchs	RW	1
1994–95	Steve Larouche	Prince Edward Island Senators	C	1
1993–94	Rich Chernomaz	St. John's Maple Leafs	RW	1
1992–93	Don Biggs	Binghamton Rangers	C	1
1991–92	John Anderson	New Haven Nighthawks	LW	1
1990–91	Kevin Todd	Utica Devils	C	1
1989–90	Paul Ysebaert	Utica Devils	LW	1
1988–89	Stephan Lebeau	Sherbrooke Canadiens	C	1
1987–88	Jody Gage	Rochester Americans	RW	1
1986–87	Tim Tookey	Hershey Bears	C	1
1985–86	Paul Gardner	Rochester Americans	C	2
1984–85	Paul Gardner	Binghamton Whalers	C	1
1983–84	Garry Lariviere	St. Catharines Saints	D	1
1983–84	Mal Davis	Rochester Americans	RW	1
1982–83	Ross Yates	Binghamton Whalers	RW	1
1981–82	Mike Kaszycki	New Brunswick Hawks	F	1
1980–81	Pelle Lindbergh	Maine Mariners	G	1
1979–80	Norm Dube	Nova Scotia Voyageurs	LW	1
1978–79	Rocky Saganiuk	New Brunswick Hawks	RW	1
1977–78	Blake Dunlop	Maine Mariners	F	1
1976–77	Doug Gibson	Rochester Americans	C	2
1975–76	Ron Andruff	Nova Scotia Voyageurs	C	1
1974–75	Doug Gibson	Rochester Americans	C	1
1973–74	Art Stratton	Rochester Americans	C	1
1972–73	Bill Inglis	Cincinnati Swords	C	1
1971–72	Garry Peters	Boston Braves	C	1
1970–71	Fred Speck	Baltimore Clippers	C	1
1969–70	Gilles Villemure	Buffalo Bisons	G	2
1968–69	Gilles Villemure	Buffalo Bisons	G	1
1967–68	Dave Creighton	Providence Reds	C	1
1966–67	Mike Nykoluk	Hershey Bears	C	1
1965–66	Dick Gamble	Rochester Americans	LW	1
1964–65	Art Stratton	Buffalo Bisons	C	1
1963–64	Fred Glover	Cleveland Barons	C	3
1962–63	Denis DeJordy	Buffalo Bisons	G	1
1961–62	Fred Glover	Cleveland Barons	C	2
1960–61	Phil Maloney	Buffalo Bisons	C	1
1959–60	Fred Glover	Cleveland Barons	C	1
1958–59	Rudy Migay	Rochester Americans	C	1
1958–59	Bill Hicke	Rochester Americans	RW	1
1957–58	Johnny Bower	Cleveland Barons	G	3
1956–57	Johnny Bower	Providence Reds	G	2
1955–56	Johnny Bower	Providence Reds	G	1
1954–55	Ross Lowe	Springfield Indians	D	1
1953–54	George Sullivan	Hershey Bears	C	1
1952–53	Eddie Olson	Cleveland Barons	LW	1
1951–52	Ray Powell	Providence Reds	C	1
1950–51	Ab DeMarco	Buffalo Bisons	C	1
1949–50	Les Douglas	Cleveland Barons	C	1
1948–49	Carl Liscombe	Providence Reds	LW	2
1947–48	Carl Liscombe	Providence Reds	LW	1
