Round	Pick	Overall	Name	Position	College
1	6	6	Spec Sanders	HB	Texas
3	6	21	Rufus Deal	RB	Auburn
5	6	36	Joe Zeno	G	Holy Cross
6	6	46	Harley McCollum	OT	Tulane
7	6	56	Bob Fitch	E	Minnesota
8	6	66	George Peters	RB	Oregon State
9	6	76	Frank Swiger	RB	Duke
10	6	86	John Goodyear	RB	Marquette
11	6	96	Al DeMao	C	Duquesne
12	6	106	Phil Ahwesh	RB	Duquesne
13	6	116	John Kovatch	E	Notre Dame
14	6	126	Bill DeCorrevont	RB	Northwestern
15	6	136	Marvin Whited	G	Oklahoma
16	6	146	Dee Chipman	RB	Brigham Young
17	6	156	George Watts	OT	Appalachian State
18	6	166	Gene Stewart	RB	Willamette
19	6	176	Charlie Timmons	FB	Clemson
20	6	186	Tiny Croft	OT	Ripon
21	1	191	Steve Juzwik	HB	Notre Dame
22	1	196	Al Couppee	G	Iowa
