District	Incumbent	Party	First elected	Result	Candidates
New York2	Thomas Downey	Democratic	1974	Lost reelection Republican gain	Rick Lazio (R) 50.8% Thomas Downey (D) 49.2%
New York3	Robert J. Mrazek	Democratic	1982	Retired to run for the U.S. Senate Republican gain	Peter T. King (R) 49.6% Steve Orlins (D) 46.5%
New York4	Norman F. Lent	Republican	1970	Retired Republican hold	David A. Levy (R) 50.4% Philip Schiliro (D) 49.6%
New York5	Raymond J. McGrath	Republican	1980	Retired	Gary Ackerman (D) 56.1% Allan E. Binder (R) 43.9%
New York5	Gary Ackerman Redistricted from the 7th district	Democratic	1982	Re-elected	Gary Ackerman (D) 56.1% Allan E. Binder (R) 43.9%
New York8	Jerrold Nadler Redistricted from the 17th district	Democratic	1986	Re-elected	Jerrold Nadler (D) 83.8% David L. Askren (R) 16.2%
New York10	Edolphus Towns Redistricted from the 11th district	Democratic	1982	Re-elected	Edolphus Towns (D) 95.6 Owen Augustin (C) 4.4%
New York11	Major R. Owens Redistricted from the 12th district	Democratic	1982	Re-elected	Major R. Owens (D) 94.7% Michael Gaffney (C) 5.3%
New York13	Susan Molinari Redistricted from the 14th district	Republican	1990	Re-elected	Susan Molinari (R) 57.3% Sal F. Albanese (D) 42.7%
New York17	Eliot L. Engel Redistricted from the 19th district	Democratic	1988	Re-elected	Eliot L. Engel (D) 85.2% Martin Richman (R) 14.8%
New York25	James T. Walsh Redistricted from the 27th district	Republican	1988	Re-elected	James T. Walsh (R) 54.0% Rhea Jezer (D) 46.0%
New York26	David O'Brien Martin	Republican	1980	Retired Democratic gain	Maurice Hinchey (D) 53.4% Bob Moppert (R) 46.6%
