Place	Player	Country	Score	To par
T1	Brad Faxon	United States	69-65-67=201	–9
T1	Fuzzy Zoeller	United States	71-66-64=201	–9
T3	Ronan Rafferty	Northern Ireland	71-66-65=202	–8
T3	Nick Price	Zimbabwe	69-66-67=202	–8
T3	Jesper Parnevik	Sweden	68-66-68=202	–8
T3	Tom Watson	United States	68-65-69=202	–8
7	David Feherty	Northern Ireland	68-69-66=203	–7
8	Mark James	England	72-67-66=205	–5
T9	Larry Mize	United States	73-69-64=206	–4
T9	Colin Montgomerie	Scotland	72-69-65=206	–4
T9	Andrew Coltart	Scotland	71-69-66=206	–4
T9	Tom Kite	United States	71-69-66=206	–4
T9	Craig Stadler	United States	71-69-66=206	–4
T9	Jumbo Ozaki	Japan	69-71-66=206	–4
T9	Peter Jacobsen	United States	69-70-67=206	–4
T9	Peter Senior	Australia	68-71-67=206	–4
T9	Davis Love III	United States	71-67-68=206	–4
T9	Loren Roberts	United States	68-69-69=206	–4
T9	Greg Turner	New Zealand	65-71-70=206	–4
