Day (see Irregularities )	Monday First Day	Tuesday Second Day	Wednesday Third Day	Thursday Fourth Day	Friday Fifth Day	Saturday Sixth Day	Sunday Seventh Day
ISO 8601 #	1	2	3	4	5	6	7
Russian	понедельник ponedel'nik [☽1 ]	вторник vtornik	среда sreda [☿1 ]	четверг chetverg	пятница pyatnitsa	суббота subbota [♄1 ]	воскресенье voskresen'ye [☉3 ]
Belarusian	Панядзелак panyadzelak [☽1 ]	Аўторак awtorak	Серада serada [☿1 ]	Чацьвер chats'ver	Пятніца pyatnitsa	Субота subota [♄1 ]	Нядзеля nyadzelya [☉6 ]
Ukrainian	понедiлок ponedilok [☽1 ]	вiвторок vivtorok	середа sereda [☿1 ]	четвер chetver	п'ятниця p'yatnitsya	субота subota [♄1 ]	недiля nedilya [☉6 ]
Bulgarian	понеделник ponedelnik [☽1 ]	вторник vtornik	сряда sryada [☿1 ]	четвъртък chetvărtăk	петък petăk	събота săbota [♄1 ]	неделя nedelya [☉6 ]
Polish	poniedziałek [☽1 ]	wtorek	środa [☿1 ]	czwartek	piątek	sobota [♄1 ]	niedziela [☉6 ]
Kashubian	pòniedzôłk	wtórk	strzoda	czwiôrtk	piątk	sobòta	niedzela
Luo	Wuok tich	Tich ariyo	Tich adek	Tich ang'uen	Tich abich	Chieng' ngeso	Juma pil
Slovak	pondelok [☽1 ]	utorok	streda [☿1 ]	štvrtok	piatok	sobota [♄1 ]	nedeľa [☉6 ]
Czech	pondělí or pondělek [☽1 ]	úterý or úterek	středa [☿1 ]	čtvrtek	pátek	sobota [♄1 ]	neděle [☉6 ]
Slovene	Ponedeljek [☽1 ]	Torek	Sreda [☿1 ]	Četrtek	Petek	Sobota [♄1 ]	Nedelja [☉6 ]
Croatian	Ponedjeljak [☽1 ]	Utorak	Srijeda [☿1 ]	Četvrtak	Petak	Subota [♄1 ]	Nedjelja [☉6 ]
Serbian	Понедељак Ponedeljak [☽1 ]	Уторак Utorak	Среда Sreda [☿1 ]	Четвртак Četvrtak	Петак Petak	Субота Subota [♄1 ]	Недеља Nedelja [☉6 ]
Macedonian	понеделник ponedelnik [☽1 ]	вторник vtornik	среда sreda [☿1 ]	четврток chetvrtok	петок petok	сабота sabota [♄1 ]	недела nedela [☉6 ]
Lithuanian	Pirmadienis	Antradienis	Trečiadienis	Ketvirtadienis	Penktadienis	Šeštadienis	Sekmadienis
Latvian	Pirmdiena	Otrdiena	Trešdiena	Ceturtdiena	Piektdiena	Sestdiena	Svētdiena
Hungarian	hétfő [☽3 ]	kedd [♂2 ]	szerda [☿1 ] Slavic	csütörtök Slavic	péntek Slavic	szombat [♄1 ]	vasárnap [☉5 ]
Estonian	esmaspäev	teisipäev	kolmapäev	neljapäev	reede	laupäev	pühapäev
s Chinese character (in Pinyin )	星期一 xīngqīyī	星期二 xīngqī'èr	星期三 xīngqīsān	星期四 xīngqīsì	星期五 xīngqīwǔ	星期六 xīngqīliù	星期日 or 星期天 xīngqīrì or xīngqítiān
Mongolian (numerical)	нэг дэх өдөр neg dekh ödör	хоёр дахь өдөр hoyor dahi ödör	гурав дахь өдөр gurav dahi ödör	дөрөв дэх өдөр döröv dekh ödör	тав дахь өдөр tav dahi ödör	хагас сайн өдөр hagas sayn ödör [♄7 ]	бүтэн сайн өдөр büten sayn ödör [☉7 ]
Mongolian (Tibetan)	Даваа davaa	Мягмар myagmar	Лхагва lhagva	Пүрэв pürev	Баасан baasan	Бямба byamba	Ням nyam
Turkish	Pazartesi [☽2 ]	Salı [♂4 ]	Çarşamba [☿4 ]	Perşembe [♃4 ]	Cuma [♀4 ]	Cumartesi [♄4 ]	Pazar [☉4 ]
