Player	No.	Nationality	Position	Years in Orlando	School/Club Team
Reece Gaines	22	United States	Guard	2003–2004	Louisville
Kiwane Garris	1	United States	Guard	1999–2000	Illinois
Pat Garrity	8	United States	Forward	1999–2008	Notre Dame
Chris Gatling	25	United States	Forward-Center	1999–2000	Old Dominion
Gordan Giriček	7	Croatia	Guard	2003–2004	CSKA Moscow ( Russia )
Drew Gooden	0	United States	Forward	2003–2004	Kansas
Marcin Gortat	13	Poland	Center	2007–2010	Poland
Horace Grant	54	United States	Forward-Center	1994–1999	Clemson
Horace Grant	54	United States	Forward-Center	2001–2003	Clemson
Litterial Green	11	United States	Guard	1992–1994	Georgia
