Circuit	Location / State	Date	Winner	Team
Eastern Creek Raceway	Sydney , New South Wales	25 - 27 Jan	Craig Lowndes	Holden Racing Team
Sandown International Raceway	Melbourne , Victoria	2 - 4 Feb	Craig Lowndes	Holden Racing Team
Mount Panorama Circuit	Bathurst , New South Wales	23 - 25 Feb	John Bowe	Dick Johnson Racing
Symmons Plains Raceway	Launceston , Tasmania	15 - 17 Mar	Craig Lowndes	Holden Racing Team
Phillip Island Grand Prix Circuit	Phillip Island , Victoria	12 - 14 Apr	Larry Perkins	Castrol Perkins Motorsport
Calder Park Raceway	Melbourne , Victoria	26 - 28 Apr	Russell Ingall	Castrol Perkins Motorsport
Lakeside International Raceway	Brisbane , Queensland	3 - 5 May	Craig Lowndes	Holden Racing Team
Barbagallo Raceway	Perth , Western Australia	24 - 26 May	Craig Lowndes	Holden Racing Team
Mallala Motor Sport Park	Mallala , South Australia	31 May - 2 Jun	Craig Lowndes	Holden Racing Team
Oran Park Raceway	Sydney , New South Wales	14 - 16 Jun	Peter Brock	Holden Racing Team
