Tie no	Home team	Score	Away team	Attendance
1	Enfield	1–1	Torquay United	3 December 1994
Replay	Torquay United	0–1	Enfield	13 December 1994
2	Chester City	1–2	Burnley	4 December 1994
3	Preston North End	1–1	Walsall	3 December 1994
Replay	Walsall	4–0	Preston North End	13 December 1994
4	Gillingham	1–1	Fulham	3 December 1994
Replay	Fulham	1–2	Gillingham	13 December 1994
5	Marlow	2–1	Woking	4 December 1994
6	Crewe Alexandra	1–2	Bury	3 December 1994
7	Lincoln City	1–0	Huddersfield Town	3 December 1994
8	Scarborough	1–0	Port Vale	3 December 1994
9	Wrexham	5–2	Rotherham United	3 December 1994
10	Plymouth Argyle	2–1	Bournemouth	3 December 1994
11	Carlisle United	2–0	Darlington	4 December 1994
12	Hitchin Town	0–5	Wycombe Wanderers	3 December 1994
13	Altrincham	1–0	Wigan Athletic	3 December 1994
14	Exeter City	1–2	Colchester United	3 December 1994
15	Halifax Town	0–0	Mansfield Town	3 December 1994
Replay	Mansfield Town	2–1	Halifax Town	13 December 1994
16	Kingstonian	1–4	Aylesbury United	3 December 1994
17	Peterborough United	0–2	Cambridge United	3 December 1994
18	Birmingham City	0–0	Scunthorpe United	2 December 1994
Replay	Scunthorpe United	1–2	Birmingham City	14 December 1994
19	Leyton Orient	0–2	Bristol Rovers	3 December 1994
20	Bashley	0–1	Swansea City	4 December 1994
