Name	Dates active	Peak classification	Windspeeds	Pressure	Areas affected	Damage (USD)	Deaths	Refs
01	October12 - October13	Tropicaldisturbance	45km/h (30mph)	1005hPa (29.68inHg)	none	none	none	none
Lee-Ariel	November15 - November28	Severetropicalstorm	95km/h (60mph)	985hPa (29.09inHg)	none	none	none	none
Bongwe	November17 – November28	Severetropicalstorm	105km/h (65mph)	976hPa (28.82inHg)	none	none	none	none
Celina	December11 – December23	Moderatetropicalstorm	75km/h (45mph)	992hPa (29.29inHg)	none	none	none	none
Dama	December17 – December21	Moderatetropicalstorm	65km/h (40mph)	995hPa (29.38inHg)	none	none	none	none
Elnus	December29 – January3	Moderatetropicalstorm	65km/h (40mph)	995hPa (29.38inHg)	none	none	none	none
07	January6 – January8	Tropicaldisturbance	35km/h (25mph)	1003hPa (29.62inHg)	none	none	none	none
Fame	January22 – February1	Tropicalcyclone	130km/h (80mph)	972hPa (28.70inHg)	Malagasy, Madagascar	January27	130km/h (80mph)	0.05
Gula	January25 – February1	Tropicalcyclone	155km/h (100mph)	950hPa (28.05inHg)	none	none	none	none
Hondo	February2 – February29	Intensetropicalcyclone	215km/h (130mph)	915hPa (27.02inHg)	Mauritius (Direct hit, no landfall)	February23	55km/h (35mph)	minimal
Hondo	February2 – February29	Intensetropicalcyclone	215km/h (130mph)	915hPa (27.02inHg)	Réunion	February23	55km/h (35mph)	minimal
Ivan	February5 – February27	Intensetropicalcyclone	185km/h (115mph)	930hPa (27.46inHg)	Fanoarivo, Madagascar	February17	185km/h (115mph)	30
Jokwe	March2 – March16	Intensetropicalcyclone	195km/h (120mph)	940hPa (27.76inHg)	Northern Madagascar	March6	95km/h (60mph)	8
Jokwe	March2 – March16	Intensetropicalcyclone	195km/h (120mph)	940hPa (27.76inHg)	Angoche , Mozambique	March8	195km/h (120mph)	8
Kamba	March5 - March14	Intensetropicalcyclone	185km/h (115mph)	930hPa (27.46inHg)	none	none	none	none
Lola	March18 - March27	Moderatetropicalstorm	65km/h (40mph)	994hPa (29.35inHg)	none	none	none	none
