Asian rank	World rank	Country	GDP per capita	GDP world rank
1	1	Qatar	$85,638	69
2	4	Brunei	$50,790	113
3	5	Singapore	$49,754	44
4	9	Kuwait	$39,344	56
5	14	United Arab Emirates	$37,941	55
6	22	Japan	$33,596	3
7	24	Bahrain	$31,899	105
8	26	Republic of China (Taiwan) [note 1 ]	$30,322	19
9	31	Israel	$27,147	52
10	34	South Korea	$24,803	14
11	36	Oman	$23,987	77
12	38	Saudi Arabia	$22,852	22
13	59	Malaysia	$13,385	30
14	66	Lebanon	$11,279	84
15	71	Iran	$10,570	18
16	83	Thailand	$7,907	24
17	100	People's Republic of China [note 2 ]	$7,325	2
18	105	Jordan	$6,976	99
19	106	Bhutan	$6,962	N/A
20	109	Maldives	$4,603	N/A
21	111	Syria	$6,892	63
22	113	Sri Lanka	$6,765	65
23	120	Indonesia	$6,728	16
24	122	Philippines	$3,383	37
25	124	Mongolia	$3,222	141
26	127	Pakistan	$2,594	26
27	128	Vietnam	$2,589	46
28	129	India	$2,563	4
29	107	East Timor	$4,770	156
30	132	Yemen	$2,343	81
31	136	Laos	$2,054	128
32	140	Papua New Guinea	$1,974	131
33	143	Cambodia	$1,818	103
34	153	Bangladesh	$1,311	48
35	159	Nepal	$3,397	96
36	161	Burma	$1,040	78
