Series #	Season #	Title	Directed by	Written by	Original air date
23	1	"It Happened One Summer (Part 1)"	Asaad Kelada	Martin Cohan & Blake Hunter	September24,1985
24	2	"It Happened One Summer (Part 2)"	Asaad Kelada	Martin Cohan & Blake Hunter	October1,1985
25	3	"Ad Man Micelli"	Asaad Kelada	Robert Sternin & Prudence Fraser	October8,1985
26	4	"The Heiress"	Gary Brown	Alan L. Gansberg	October15,1985
27	5	"Tony the Matchmaker"	Asaad Kelada	Paul Robinson Hunter	October29,1985
28	6	"Custody (Part 1)"	Asaad Kelada	Robert Sternin & Prudence Fraser	November5,1985
29	7	"Custody (Part 2)"	Asaad Kelada	Robert Sternin & Prudence Fraser	November12,1985
30	8	"Hunk of the Month"	Michael Zinberg	Karen Wengrod & Ken Cinnmaon	November9,1985
31	9	"Thanksgiving at Mrs. Rossini's"	Asaad Kelada	Dawn Aldredge & Judith Bustany	November26,1985
32	10	"The Prodigal Father-in-Law"	Asaad Kelada	Cheri Eichen & Bill Steinkellner	December3,1985
33	11	"The Graduate"	Asaad Kelada	Bud Wiser	December10,1985
34	12	"Tony the Nanny"	Katherine Helmond & Gail L. Bergmann	Ellen Guylas	December17,1985
35	13	"Junior Executive"	Tony Danza & Gail L. Bergmann	Cheri Eichen & Bill Steinkellner	January7,1986
36	14	"Educating Tony"	Asaad Kelada	Michael Poryes	January14,1986
37	15	"Gotta Dance"	Asaad Kelada	Howard Meyers	January21,1986
38	16	"The Babysitter"	Asaad Kelada	Bud Wiser	January28,1986
39	17	"Jonathan Plays Cupid "	Asaad Kelada	Paul Robinson Hunter	February11,1986
40	18	"When Worlds Collide"	Asaad Kelada	Karen Wengrod & Ken Cinnamon	February18,1986
41	19	"Losers and Other Strangers"	Asaad Kelada	Seth Weisbord	February25,1986
42	20	"Tony for President"	Asaad Kelada	Howard Meyers	March4,1986
43	21	"Not With My Client, You Don't"	Asaad Kelada	Dawn Aldredge & Judith Bustany	March18,1986
45	23	"There's No Business Like Shoe Business"	Asaad Kelada	Karen Wengrod & Ken Cinnamon	April1,1986
46	24	"The Unnatural"	Jim Drake	Ellen Guylas	April8,1986
